Unique Class Stereotype,Class Count
lazy-class small-class,2
lazy-class,1
commander lazy-class degenerate,1
data-provider boundary data-class small-class,2
data-provider boundary degenerate,1
boundary data-class small-class,2
data-provider boundary data-class,2
data-provider boundary lazy-class degenerate,1
entity boundary degenerate,2
commander small-class,2
boundary data-class,1
entity data-provider boundary,13
data-class small-class,1
entity boundary,48
data-provider,8
data-provider data-class small-class,4
data-provider boundary,23
commander data-class small-class,1
boundary small-class,4
unclassified,40
controller small-class,2
data-provider boundary small-class,25
empty,218
commander,6
pure-controller degenerate,5
boundary degenerate small-class,10
data-provider small-class,3
boundary lazy-class degenerate,1
controller degenerate,3
boundary lazy-class,3
degenerate small-class,7
lazy-class degenerate,3
boundary degenerate,4
controller,5
commander boundary,9
degenerate,12
boundary,60
pure-controller small-class,5
entity commander boundary,4
pure-controller degenerate small-class,8
entity minimal-entity boundary,5
entity boundary small-class,19
small-class,13
commander boundary small-class,6
Total,595
