Unique Class Stereotype,Class Count
entity data-provider boundary,1
commander small-class,1
commander boundary small-class,1
boundary data-class small-class,1
degenerate,3
pure-controller degenerate small-class,1
boundary degenerate,1
data-provider boundary,1
data-provider boundary small-class,4
entity boundary,7
controller degenerate,1
factory degenerate small-class,1
data-provider boundary degenerate,1
boundary,4
degenerate small-class,3
empty,182
unclassified,3
data-provider,3
data-provider data-class small-class,1
boundary degenerate small-class,9
entity commander boundary,22
small-class,4
entity boundary small-class,5
data-provider small-class,1
boundary data-class,1
Total,262
