Unique Method Stereotype,Method Count
get property,1
get wrapper,40
unclassified,14
get property non-void-command factory collaborator,1
command collaborator,305
property,133
set collaborator,58
property non-void-command collaborator,219
property controller,64
collaborator,51
wrapper stateless,150
property non-void-command,62
property collaborator,336
predicate set,19
property non-void-command factory collaborator,5
incidental,146
factory collaborator,1
controller,47
get predicate,1
predicate,157
property wrapper,94
get non-void-command collaborator,10
set,82
constructor,742
get property controller,1
get,121
collaborator incidental,125
get property non-void-command collaborator,3
property set collaborator,15
get non-void-command,29
get property collaborator,8
void-accessor set collaborator,2
get property wrapper,4
get set,60
predicate non-void-command collaborator,140
wrapper,116
destructor,164
void-accessor wrapper,4
predicate non-void-command,81
command,269
property set factory collaborator,1
predicate wrapper,29
predicate controller,30
controller stateless,162
non-void-command factory collaborator,2
get collaborator,140
get controller,6
predicate set collaborator,22
void-accessor command collaborator,11
copy-constructor,43
void-accessor collaborator,4
predicate collaborator,145
void-accessor,5
void-accessor controller,3
empty,29
get set collaborator,3
property set,4
factory controller stateless,1
void-accessor command,5
property factory collaborator,4
property command collaborator,3
get property set collaborator,1
Total,4533
