Unique Class Stereotype,Class Count
pure-controller degenerate,1
data-provider boundary degenerate,1
commander lazy-class small-class,1
data-provider lazy-class,2
lazy-class,2
data-provider lazy-class degenerate,2
boundary data-class small-class,2
commander boundary small-class,3
data-provider boundary lazy-class degenerate,1
lazy-class degenerate,3
data-class,2
entity minimal-entity boundary,2
data-provider boundary data-class,2
data-provider boundary lazy-class,2
entity data-provider boundary,38
data-provider boundary data-class small-class,7
data-provider boundary,52
data-provider,35
data-provider data-class small-class,5
entity commander boundary,2
pure-controller degenerate small-class,14
controller small-class,12
unclassified,121
boundary degenerate,4
controller,2
boundary degenerate small-class,11
empty,134
commander,40
data-provider boundary small-class,17
small-class,81
entity boundary small-class,45
commander boundary degenerate,1
data-class small-class,2
entity boundary,50
degenerate small-class,5
minimal-entity boundary,1
boundary,79
degenerate,11
pure-controller small-class,16
commander small-class,16
commander boundary data-class small-class,2
data-provider data-class,5
boundary small-class,7
commander data-class small-class,4
boundary lazy-class degenerate,1
controller degenerate,1
data-provider small-class,7
Total,854
