Unique Method Stereotype,Method Count
predicate wrapper,1
non-void-command collaborator,1
property factory wrapper,1
get factory collaborator,3
property set collaborator,2
get set factory collaborator,5
predicate,5
property factory controller,4
get set collaborator,27
constructor,468
set,214
wrapper stateless,91
property wrapper,35
get non-void-command collaborator,22
command collaborator,531
controller stateless,149
get controller,1
factory controller stateless,26
get collaborator,89
command,248
empty,30
factory controller,4
get,355
collaborator incidental,105
predicate controller,16
non-void-command factory collaborator,60
set collaborator,36
property controller,19
property non-void-command collaborator,338
predicate non-void-command,21
incidental,135
controller,36
predicate non-void-command collaborator,49
property collaborator,34
property non-void-command factory collaborator,34
property non-void-command,65
get non-void-command,26
factory collaborator stateless,103
wrapper,40
get set,83
get wrapper,2
property,14
property factory collaborator,35
Total,3563
