Unique Method Stereotype,Method Count
get collaborator,20
property wrapper,2
factory controller,2
empty,5
command,51
unclassified,2
command collaborator,53
wrapper,3
factory collaborator stateless,7
incidental,1
predicate non-void-command collaborator,37
controller,13
predicate controller,1
non-void-command factory collaborator,1
property factory,2
predicate non-void-command,15
predicate wrapper,1
constructor,72
set,8
controller stateless,16
wrapper stateless,14
predicate,8
get controller,1
factory controller stateless,2
property non-void-command collaborator,79
property controller,10
set collaborator,3
void-accessor command collaborator,2
get,19
collaborator incidental,6
property non-void-command factory collaborator,12
property non-void-command,13
Total,481
