Unique Class Stereotype,Class Count
minimal-entity boundary,1
commander boundary lazy-class,1
entity minimal-entity commander boundary,2
entity data-provider boundary,1
degenerate,4
controller small-class,1
entity boundary,6
data-provider,6
entity minimal-entity boundary,4
entity boundary small-class,1
small-class,5
commander boundary small-class,2
commander,6
pure-controller degenerate,1
boundary,12
factory pure-controller degenerate small-class,1
commander small-class,3
boundary degenerate,1
commander boundary,17
controller,5
boundary degenerate small-class,1
entity commander boundary,3
pure-controller degenerate small-class,5
unclassified,16
empty,49
Total,154
