Unique Method Stereotype,Method Count
collaborator stateless,1
factory collaborator stateless,1
controller,2
set collaborator,5
controller stateless,3
command,23
constructor,4
set,15
wrapper stateless,3
get,12
get collaborator,2
command collaborator,8
predicate,3
factory wrapper stateless,1
get predicate set,1
non-void-command factory collaborator,1
property non-void-command collaborator,1
predicate non-void-command,13
predicate wrapper,1
property non-void-command,5
property wrapper,1
predicate non-void-command collaborator,10
Total,116
