Unique Class Stereotype,Class Count
boundary large-class lazy-class degenerate,1
controller degenerate,1
entity minimal-entity boundary,1
data-provider lazy-class degenerate,2
boundary degenerate,1
pure-controller degenerate,3
minimal-entity commander boundary,1
commander small-class,10
commander boundary,18
boundary degenerate small-class,11
entity commander boundary,2
pure-controller degenerate small-class,14
data-class,1
data-provider,7
commander boundary lazy-class degenerate,1
commander lazy-class,1
data-provider data-class small-class,5
small-class,17
entity boundary small-class,11
degenerate small-class,5
degenerate,8
boundary,19
pure-controller small-class,1
data-provider small-class,2
entity boundary,5
controller lazy-class small-class,2
unclassified,33
controller small-class,1
data-provider boundary,1
boundary small-class,1
commander boundary small-class,11
factory degenerate small-class,1
commander,22
empty,46
entity small-class,2
data-provider boundary lazy-class degenerate,2
controller,4
factory pure-controller degenerate small-class,4
Total,278
