Unique Method Stereotype,Method Count
get property controller,2
controller,9
empty,3
command,13
factory controller,5
factory collaborator stateless,45
wrapper stateless,82
non-void-command factory collaborator,2
property non-void-command collaborator,200
property non-void-command,20
set collaborator,9
property wrapper,6
command collaborator,41
factory controller stateless,11
property non-void-command factory collaborator,3
property factory controller,54
set,1
constructor,46
incidental,5
get collaborator,35
get,32
controller stateless,179
property controller,21
Total,824
