Class Name,Class Stereotype,Method Name,Method Stereotype
"ParquetFileProccessor","empty","ParquetFileProccessor","constructor",
"ParquetFileProccessor","empty","ParquetFileProccessor","constructor",
"ParquetFileProccessor","empty","ParquetFileProccessor","constructor",
"ParquetMeta","boundary data-class","getName","get",
"ParquetMeta","boundary data-class","setName","set",
"ParquetMeta","boundary data-class","getOriginalType","get collaborator",
"ParquetMeta","boundary data-class","setOriginalType","set collaborator",
"ParquetMeta","boundary data-class","getPrimitiveType","get collaborator",
"ParquetMeta","boundary data-class","setPrimitiveType","set collaborator",
"HBase20SQLReaderHelper","commander","HBase20SQLReaderHelper","constructor",
"HBase20SQLReaderHelper","commander","validateParameter","command",
"HBase20SQLReaderHelper","commander","getConnection","property non-void-command collaborator",
"HBase20SQLReaderHelper","commander","checkTable","command",
"HBase20SQLReaderHelper","commander","closeJdbc","command collaborator",
"HBase20SQLReaderHelper","commander","dealWhere","command",
"HBase20SQLReaderHelper","commander","doSplit","non-void-command factory collaborator",
"HBase20SQLReaderHelper","commander","buildSplitRange","property non-void-command",
"HBase20SQLReaderHelper","commander","getPkRange","non-void-command factory collaborator",
"HbaseSQLWriterTask","entity commander boundary","HbaseSQLWriterTask","constructor",
"HbaseSQLWriterTask","entity commander boundary","startWriter","command collaborator",
"HbaseSQLWriterTask","entity commander boundary","prepare","command",
"HbaseSQLWriterTask","entity commander boundary","close","command",
"HbaseSQLWriterTask","entity commander boundary","doBatchUpsert","command collaborator",
"HbaseSQLWriterTask","entity commander boundary","doSingleUpsert","command collaborator",
"HbaseSQLWriterTask","entity commander boundary","createPreparedStatement","property non-void-command collaborator",
"HbaseSQLWriterTask","entity commander boundary","getColumnSqlType","property non-void-command collaborator",
"HbaseSQLWriterTask","entity commander boundary","setupStatement","command collaborator",
"HbaseSQLWriterTask","entity commander boundary","setupColumn","command collaborator",
"HbaseSQLWriterTask","entity commander boundary","getEmptyValue","factory wrapper stateless",
"DFSUtil","boundary","DFSUtil","constructor",
"DFSUtil","boundary","kerberosAuthentication","wrapper",
"DFSUtil","boundary","getAllFiles","get non-void-command",
"DFSUtil","boundary","getHDFSAllFiles","get non-void-command",
"DFSUtil","boundary","getHDFSAllFilesNORegex","get non-void-command collaborator",
"DFSUtil","boundary","addSourceFileByType","command",
"DFSUtil","boundary","getInputStream","property controller",
"DFSUtil","boundary","sequenceFileStartRead","command collaborator",
"DFSUtil","boundary","rcFileStartRead","command collaborator",
"DFSUtil","boundary","orcFileStartRead","command collaborator",
"DFSUtil","boundary","checkIsOrcEmptyFileExecption","controller stateless",
"DFSUtil","boundary","transportOneRecord","property non-void-command collaborator",
"DFSUtil","boundary","getAllColumnsCount","property controller",
"DFSUtil","boundary","getMaxIndex","property non-void-command collaborator",
"DFSUtil","boundary","checkHdfsFileType","predicate non-void-command",
"DFSUtil","boundary","isORCFile","predicate non-void-command collaborator",
"DFSUtil","boundary","isRCFile","predicate non-void-command collaborator",
"DFSUtil","boundary","isSequenceFile","predicate non-void-command collaborator",
"DFSUtil","boundary","parquetFileStartRead","command collaborator",
"DFSUtil","boundary","findEleInMap","controller stateless",
"DFSUtil","boundary","findIndex","controller stateless",
"DFSUtil","boundary","getParquetFileFields","property non-void-command collaborator",
