Unique Method Stereotype,Method Count
factory collaborator incidental,1
get set,96
get property non-void-command,2
predicate controller,7
property factory,1
property non-void-command collaborator,227
property controller,16
set collaborator,116
predicate,15
property non-void-command,122
property non-void-command factory collaborator,42
collaborator incidental,34
get,223
get property non-void-command collaborator,2
wrapper stateless,97
predicate non-void-command,43
void-accessor wrapper,3
property,19
command collaborator,630
property set,6
set,190
constructor,466
factory controller,2
get property controller,4
empty,83
void-accessor command collaborator,46
incidental,138
controller,45
wrapper,24
predicate non-void-command collaborator,46
copy-constructor,3
get controller,1
get collaborator,117
non-void-command factory collaborator,20
controller stateless,154
property factory controller,2
void-accessor controller,2
get set factory collaborator,3
factory controller stateless,18
void-accessor command,15
get predicate set,1
get set collaborator,36
get non-void-command collaborator,28
property wrapper,15
predicate set collaborator,5
property non-void-command factory,1
get non-void-command,23
get property wrapper,2
command,523
property factory wrapper,3
factory wrapper stateless,3
factory wrapper,1
predicate wrapper,3
get property set factory collaborator,2
property factory collaborator,10
get non-void-command factory collaborator,1
property set collaborator,8
property collaborator,14
stateless,2
factory collaborator stateless,15
get wrapper,1
get property,1
Total,3779
