Unique Method Stereotype,Method Count
controller,2
get,6
wrapper stateless,10
property controller,2
controller stateless,6
unclassified,1
empty,9
command,49
constructor,41
set,8
command collaborator,65
incidental,4
get collaborator,7
set collaborator,8
property non-void-command,7
predicate wrapper,2
predicate non-void-command,3
property non-void-command collaborator,6
predicate non-void-command collaborator,2
property wrapper,5
factory controller stateless,6
collaborator incidental,7
property factory collaborator,3
factory collaborator stateless,1
wrapper,9
Total,269
