Unique Class Stereotype,Class Count
entity factory controller small-class,1
boundary data-class small-class,2
data-provider boundary data-class,3
entity minimal-entity boundary,2
data-provider boundary small-class,3
controller degenerate,5
data-provider small-class,5
data-provider boundary lazy-class small-class,1
factory controller small-class,3
data-provider lazy-class,4
entity,2
data-provider lazy-class small-class,2
degenerate small-class,31
data-provider boundary data-class small-class,9
data-provider boundary,145
entity boundary small-class,21
small-class,46
boundary degenerate,2
commander boundary,25
data-class,11
controller small-class,2
unclassified,52
commander boundary degenerate,1
boundary degenerate small-class,14
entity boundary data-class small-class,1
pure-controller degenerate small-class,389
entity commander boundary,7
data-provider data-class small-class,25
data-provider,24
commander boundary small-class,18
empty,4299
commander,12
entity minimal-entity data-provider boundary,1
entity boundary,30
data-class small-class,9
minimal-entity boundary,1
boundary data-class,6
pure-controller small-class,4
degenerate,9
boundary,32
boundary small-class,1
data-provider data-class,11
commander data-class small-class,4
commander boundary data-class small-class,1
entity boundary degenerate,2
commander small-class,14
Total,5292
