Unique Method Stereotype,Method Count
get set factory collaborator,1
get property,1
get wrapper,2
collaborator,1
collaborator stateless,7
non-void-command collaborator,1
predicate wrapper,10
get non-void-command factory collaborator,1
property non-void-command factory,5
get factory collaborator,1
predicate controller,5
non-void-command factory collaborator,11
set,36
property factory wrapper,5
factory controller,4
empty,49
factory collaborator stateless,11
get non-void-command,8
wrapper,28
get set,28
stateless,4
property set collaborator,4
non-void-command factory,1
unclassified,12
get property non-void-command factory collaborator,1
property,12
get property non-void-command collaborator,3
collaborator incidental,22
get,404
get property factory controller,1
get collaborator,448
constructor,709
command,349
property factory,14
predicate non-void-command,89
property controller,12
set collaborator,29
property non-void-command collaborator,324
predicate,13
command collaborator,358
property wrapper,72
get non-void-command collaborator,15
wrapper stateless,69
controller stateless,61
copy-constructor,8
incidental,81
predicate non-void-command collaborator,31
controller,12
property factory collaborator,51
property factory controller,13
get set collaborator,12
factory controller stateless,13
predicate collaborator,2
factory wrapper stateless,2
predicate set,1
property non-void-command,202
property non-void-command factory collaborator,72
property collaborator,6
Total,3747
