Unique Method Stereotype,Method Count
property factory wrapper,1
get property factory collaborator,1
get set collaborator,2
predicate collaborator,1
factory controller stateless,1
unclassified,4
void-accessor controller,1
property,4
get collaborator,22
wrapper,4
factory collaborator stateless,5
get property wrapper,1
get non-void-command,6
set,55
constructor,45
factory collaborator incidental,2
property set,1
wrapper stateless,31
predicate controller,1
non-void-command factory collaborator,4
predicate non-void-command,18
command,109
factory controller,1
empty,175
controller stateless,108
set collaborator,14
property non-void-command collaborator,81
property controller,7
predicate,5
command collaborator,75
property set collaborator,1
stateless,2
collaborator incidental,79
get,50
void-accessor command,1
property collaborator,5
property non-void-command,39
property non-void-command factory collaborator,8
collaborator stateless,26
controller,7
incidental,70
predicate non-void-command collaborator,7
get non-void-command collaborator,1
property wrapper,2
property factory collaborator,10
Total,1093
