Unique Class Stereotype,Class Count
entity factory controller small-class,2
boundary lazy-class degenerate,1
pure-controller degenerate,5
entity factory controller,1
boundary,5
lazy-class degenerate,3
boundary degenerate small-class,3
data-provider data-class small-class,5
commander,4
commander boundary small-class,13
empty,53
unclassified,12
entity boundary small-class,3
small-class,1
data-class small-class,1
degenerate,17
data-class,1
pure-controller degenerate small-class,14
boundary degenerate,3
commander boundary,4
pure-controller small-class,1
commander small-class,3
data-provider boundary data-class small-class,2
controller small-class,1
degenerate small-class,4
Total,162
