Class Name,Class Stereotype,Method Name,Method Stereotype
"BadgeRule","data-class","BadgeRule","constructor",
"BadgeRule","data-class","getAnchor","get collaborator",
"BadgeRule","data-class","setAnchor","set collaborator",
"BadgeRule","data-class","getOffset","get",
"BadgeRule","data-class","setOffset","set",
"BadgePagerTitleView","unclassified","BadgePagerTitleView","constructor",
"BadgePagerTitleView","unclassified","onSelected","command",
"BadgePagerTitleView","unclassified","onDeselected","command",
"BadgePagerTitleView","unclassified","onLeave","command",
"BadgePagerTitleView","unclassified","onEnter","command",
"BadgePagerTitleView","unclassified","getInnerPagerTitleView","get collaborator",
"BadgePagerTitleView","unclassified","setInnerPagerTitleView","set collaborator",
"BadgePagerTitleView","unclassified","getBadgeView","get collaborator",
"BadgePagerTitleView","unclassified","setBadgeView","set collaborator",
"BadgePagerTitleView","unclassified","onLayout","command",
"BadgePagerTitleView","unclassified","getContentLeft","property non-void-command",
"BadgePagerTitleView","unclassified","getContentTop","property non-void-command",
"BadgePagerTitleView","unclassified","getContentRight","property non-void-command",
"BadgePagerTitleView","unclassified","getContentBottom","property non-void-command",
"BadgePagerTitleView","unclassified","getXBadgeRule","get collaborator",
"BadgePagerTitleView","unclassified","setXBadgeRule","set collaborator",
"BadgePagerTitleView","unclassified","getYBadgeRule","get collaborator",
"BadgePagerTitleView","unclassified","setYBadgeRule","set collaborator",
"BadgePagerTitleView","unclassified","isAutoCancelBadge","get",
"BadgePagerTitleView","unclassified","setAutoCancelBadge","set",
"SimplePagerTitleView","boundary lazy-class degenerate","SimplePagerTitleView","constructor",
"SimplePagerTitleView","boundary lazy-class degenerate","init","wrapper stateless",
"SimplePagerTitleView","boundary lazy-class degenerate","onSelected","wrapper",
"SimplePagerTitleView","boundary lazy-class degenerate","onDeselected","wrapper",
"SimplePagerTitleView","boundary lazy-class degenerate","onLeave","empty",
"SimplePagerTitleView","boundary lazy-class degenerate","onEnter","empty",
"SimplePagerTitleView","boundary lazy-class degenerate","getContentLeft","controller stateless",
"SimplePagerTitleView","boundary lazy-class degenerate","getContentTop","wrapper stateless",
"SimplePagerTitleView","boundary lazy-class degenerate","getContentRight","controller stateless",
"SimplePagerTitleView","boundary lazy-class degenerate","getContentBottom","wrapper stateless",
"SimplePagerTitleView","boundary lazy-class degenerate","getSelectedColor","get",
"SimplePagerTitleView","boundary lazy-class degenerate","setSelectedColor","set",
"SimplePagerTitleView","boundary lazy-class degenerate","getNormalColor","get",
"SimplePagerTitleView","boundary lazy-class degenerate","setNormalColor","set",
"DummyPagerTitleView","degenerate","DummyPagerTitleView","constructor",
"DummyPagerTitleView","degenerate","onSelected","empty",
"DummyPagerTitleView","degenerate","onDeselected","empty",
"DummyPagerTitleView","degenerate","onLeave","empty",
"DummyPagerTitleView","degenerate","onEnter","empty",
"CommonPagerTitleView","unclassified","CommonPagerTitleView","constructor",
"CommonPagerTitleView","unclassified","onSelected","command",
"CommonPagerTitleView","unclassified","onDeselected","command",
"CommonPagerTitleView","unclassified","onLeave","command",
"CommonPagerTitleView","unclassified","onEnter","command",
"CommonPagerTitleView","unclassified","getContentLeft","property non-void-command",
"CommonPagerTitleView","unclassified","getContentTop","property non-void-command",
"CommonPagerTitleView","unclassified","getContentRight","property non-void-command",
"CommonPagerTitleView","unclassified","getContentBottom","property non-void-command",
"CommonPagerTitleView","unclassified","setContentView","command collaborator",
"CommonPagerTitleView","unclassified","setContentView","wrapper stateless",
"CommonPagerTitleView","unclassified","setContentView","command collaborator",
"CommonPagerTitleView","unclassified","getOnPagerTitleChangeListener","get collaborator",
"CommonPagerTitleView","unclassified","setOnPagerTitleChangeListener","set collaborator",
"CommonPagerTitleView","unclassified","getContentPositionDataProvider","get collaborator",
"CommonPagerTitleView","unclassified","setContentPositionDataProvider","set collaborator",
"ClipPagerTitleView","unclassified","ClipPagerTitleView","constructor",
"ClipPagerTitleView","unclassified","init","set collaborator",
"ClipPagerTitleView","unclassified","onMeasure","command",
"ClipPagerTitleView","unclassified","measureWidth","property non-void-command",
"ClipPagerTitleView","unclassified","measureHeight","property non-void-command",
"ClipPagerTitleView","unclassified","onDraw","command collaborator",
"ClipPagerTitleView","unclassified","onSelected","empty",
"ClipPagerTitleView","unclassified","onDeselected","empty",
"ClipPagerTitleView","unclassified","onLeave","command",
"ClipPagerTitleView","unclassified","onEnter","command",
"ClipPagerTitleView","unclassified","measureTextBounds","command",
"ClipPagerTitleView","unclassified","getText","get",
"ClipPagerTitleView","unclassified","setText","set",
"ClipPagerTitleView","unclassified","getTextSize","property non-void-command",
"ClipPagerTitleView","unclassified","setTextSize","command",
"ClipPagerTitleView","unclassified","getTextColor","get",
"ClipPagerTitleView","unclassified","setTextColor","set",
"ClipPagerTitleView","unclassified","getClipColor","get",
"ClipPagerTitleView","unclassified","setClipColor","set",
"ClipPagerTitleView","unclassified","getContentLeft","property non-void-command",
"ClipPagerTitleView","unclassified","getContentTop","property non-void-command",
"ClipPagerTitleView","unclassified","getContentRight","property non-void-command",
"ClipPagerTitleView","unclassified","getContentBottom","property non-void-command",
"WrapPagerIndicator","unclassified","WrapPagerIndicator","constructor",
"WrapPagerIndicator","unclassified","init","command collaborator",
"WrapPagerIndicator","unclassified","onDraw","command collaborator",
"WrapPagerIndicator","unclassified","onPageScrolled","command collaborator",
"WrapPagerIndicator","unclassified","onPageSelected","empty",
"WrapPagerIndicator","unclassified","onPageScrollStateChanged","empty",
"WrapPagerIndicator","unclassified","onPositionDataProvide","set collaborator",
"WrapPagerIndicator","unclassified","getPaint","get collaborator",
"WrapPagerIndicator","unclassified","getVerticalPadding","get",
"WrapPagerIndicator","unclassified","setVerticalPadding","set",
"WrapPagerIndicator","unclassified","getHorizontalPadding","get",
"WrapPagerIndicator","unclassified","setHorizontalPadding","set",
"WrapPagerIndicator","unclassified","getFillColor","get",
"WrapPagerIndicator","unclassified","setFillColor","set",
"WrapPagerIndicator","unclassified","getRoundRadius","get",
"WrapPagerIndicator","unclassified","setRoundRadius","command",
"WrapPagerIndicator","unclassified","getStartInterpolator","get collaborator",
"WrapPagerIndicator","unclassified","setStartInterpolator","set collaborator",
"WrapPagerIndicator","unclassified","getEndInterpolator","get collaborator",
"WrapPagerIndicator","unclassified","setEndInterpolator","set collaborator",
"TriangularPagerIndicator","unclassified","TriangularPagerIndicator","constructor",
"TriangularPagerIndicator","unclassified","init","command collaborator",
"TriangularPagerIndicator","unclassified","onDraw","command collaborator",
"TriangularPagerIndicator","unclassified","onPageScrolled","unclassified",
"TriangularPagerIndicator","unclassified","onPageSelected","empty",
"TriangularPagerIndicator","unclassified","onPageScrollStateChanged","empty",
"TriangularPagerIndicator","unclassified","onPositionDataProvide","set collaborator",
"TriangularPagerIndicator","unclassified","getLineHeight","get",
"TriangularPagerIndicator","unclassified","setLineHeight","set",
"TriangularPagerIndicator","unclassified","getLineColor","get",
"TriangularPagerIndicator","unclassified","setLineColor","set",
"TriangularPagerIndicator","unclassified","getTriangleHeight","get",
"TriangularPagerIndicator","unclassified","setTriangleHeight","set",
"TriangularPagerIndicator","unclassified","getTriangleWidth","get",
"TriangularPagerIndicator","unclassified","setTriangleWidth","set",
"TriangularPagerIndicator","unclassified","getStartInterpolator","get collaborator",
"TriangularPagerIndicator","unclassified","setStartInterpolator","set collaborator",
"TriangularPagerIndicator","unclassified","isReverse","get",
"TriangularPagerIndicator","unclassified","setReverse","set",
"TriangularPagerIndicator","unclassified","getYOffset","get",
"TriangularPagerIndicator","unclassified","setYOffset","set",
"TestPagerIndicator","commander","TestPagerIndicator","constructor",
"TestPagerIndicator","commander","init","command collaborator",
"TestPagerIndicator","commander","onDraw","command collaborator",
"TestPagerIndicator","commander","onPageScrolled","command collaborator",
"TestPagerIndicator","commander","onPageSelected","empty",
"TestPagerIndicator","commander","onPageScrollStateChanged","empty",
"TestPagerIndicator","commander","onPositionDataProvide","set collaborator",
"TestPagerIndicator","commander","getOutRectColor","get",
"TestPagerIndicator","commander","setOutRectColor","set",
"TestPagerIndicator","commander","getInnerRectColor","get",
"TestPagerIndicator","commander","setInnerRectColor","set",
"BezierPagerIndicator","commander","BezierPagerIndicator","constructor",
"BezierPagerIndicator","commander","init","command collaborator",
"BezierPagerIndicator","commander","onDraw","command collaborator",
"BezierPagerIndicator","commander","drawBezierCurve","command collaborator",
"BezierPagerIndicator","commander","onPageScrolled","command",
"BezierPagerIndicator","commander","onPageSelected","empty",
"BezierPagerIndicator","commander","onPageScrollStateChanged","empty",
"BezierPagerIndicator","commander","onPositionDataProvide","set collaborator",
"BezierPagerIndicator","commander","getMaxCircleRadius","get",
"BezierPagerIndicator","commander","setMaxCircleRadius","set",
"BezierPagerIndicator","commander","getMinCircleRadius","get",
"BezierPagerIndicator","commander","setMinCircleRadius","set",
"BezierPagerIndicator","commander","getYOffset","get",
"BezierPagerIndicator","commander","setYOffset","set",
"BezierPagerIndicator","commander","setColors","set",
"BezierPagerIndicator","commander","setStartInterpolator","set collaborator",
"BezierPagerIndicator","commander","setEndInterpolator","set collaborator",
"DotPagerIndicator","unclassified","DotPagerIndicator","constructor",
"DotPagerIndicator","unclassified","onPageSelected","collaborator",
"DotPagerIndicator","unclassified","onPositionDataProvide","set collaborator",
"DotPagerIndicator","unclassified","onDraw","command collaborator",
"DotPagerIndicator","unclassified","onPageScrolled","empty",
"DotPagerIndicator","unclassified","onPageScrollStateChanged","empty",
"DotPagerIndicator","unclassified","getRadius","get",
"DotPagerIndicator","unclassified","setRadius","set",
"DotPagerIndicator","unclassified","getYOffset","get",
"DotPagerIndicator","unclassified","setYOffset","set",
"DotPagerIndicator","unclassified","getDotColor","get",
"DotPagerIndicator","unclassified","setDotColor","set",
"MagicIndicator","commander","MagicIndicator","constructor",
"MagicIndicator","commander","MagicIndicator","constructor",
"MagicIndicator","commander","onPageScrolled","command",
"MagicIndicator","commander","onPageSelected","command",
"MagicIndicator","commander","onPageScrollStateChanged","command",
"MagicIndicator","commander","getNavigator","get collaborator",
"MagicIndicator","commander","setNavigator","collaborator",
"TestFragment","pure-controller small-class","onCreateView","controller stateless",
"TestFragment","pure-controller small-class","onViewCreated","controller",
"CircleNavigator","unclassified","CircleNavigator","constructor",
"CircleNavigator","unclassified","init","command collaborator",
"CircleNavigator","unclassified","onMeasure","command",
"CircleNavigator","unclassified","measureWidth","property wrapper",
"CircleNavigator","unclassified","measureHeight","property wrapper",
"CircleNavigator","unclassified","onDraw","command collaborator",
"CircleNavigator","unclassified","drawCircles","command collaborator",
"CircleNavigator","unclassified","drawIndicator","command collaborator",
"CircleNavigator","unclassified","prepareCirclePoints","collaborator",
"CircleNavigator","unclassified","onPageScrolled","collaborator",
"CircleNavigator","unclassified","onTouchEvent","predicate non-void-command collaborator",
"CircleNavigator","unclassified","onPageSelected","command",
"CircleNavigator","unclassified","onPageScrollStateChanged","empty",
"CircleNavigator","unclassified","onLayout","command",
"CircleNavigator","unclassified","onAttachToMagicIndicator","empty",
"CircleNavigator","unclassified","notifyDataSetChanged","command",
"CircleNavigator","unclassified","onDetachFromMagicIndicator","empty",
"CircleNavigator","unclassified","getRadius","get",
"CircleNavigator","unclassified","setRadius","set",
"CircleNavigator","unclassified","getCircleColor","get",
"CircleNavigator","unclassified","setCircleColor","set",
"CircleNavigator","unclassified","getStrokeWidth","get",
"CircleNavigator","unclassified","setStrokeWidth","set",
"CircleNavigator","unclassified","getCircleSpacing","get",
"CircleNavigator","unclassified","setCircleSpacing","set",
"CircleNavigator","unclassified","getStartInterpolator","get collaborator",
"CircleNavigator","unclassified","setStartInterpolator","set collaborator",
"CircleNavigator","unclassified","getCircleCount","get",
"CircleNavigator","unclassified","setCircleCount","set",
"CircleNavigator","unclassified","isTouchable","get",
