Class Name,Class Stereotype,Method Name,Method Stereotype
"SwitchActivity","commander boundary small-class","onCreate","command collaborator"
"ProgressActivity","commander boundary small-class","onCreate","command collaborator"
"MainActivity","unclassified","onCreate","command collaborator"
"MainActivity","unclassified","setOriginRiple","controller stateless"
"MainActivity","unclassified","onColorSelected","set"
"Dialog","minimal-entity commander boundary","Dialog","constructor"
"Dialog","minimal-entity commander boundary","addCancelButton","set"
"Dialog","minimal-entity commander boundary","addCancelButton","command collaborator"
"Dialog","minimal-entity commander boundary","onCreate","command collaborator"
"Dialog","minimal-entity commander boundary","show","command"
"Dialog","minimal-entity commander boundary","getMessage","get"
"Dialog","minimal-entity commander boundary","setMessage","set"
"Dialog","minimal-entity commander boundary","getMessageTextView","get collaborator"
"Dialog","minimal-entity commander boundary","setMessageTextView","set collaborator"
"Dialog","minimal-entity commander boundary","getTitle","get"
"Dialog","minimal-entity commander boundary","setTitle","command"
"Dialog","minimal-entity commander boundary","getTitleTextView","get collaborator"
"Dialog","minimal-entity commander boundary","setTitleTextView","set collaborator"
"Dialog","minimal-entity commander boundary","getButtonAccept","get collaborator"
"Dialog","minimal-entity commander boundary","setButtonAccept","set collaborator"
"Dialog","minimal-entity commander boundary","getButtonCancel","get collaborator"
"Dialog","minimal-entity commander boundary","setButtonCancel","set collaborator"
"Dialog","minimal-entity commander boundary","setOnAcceptButtonClickListener","set collaborator"
"Dialog","minimal-entity commander boundary","setOnCancelButtonClickListener","set collaborator"
"Dialog","minimal-entity commander boundary","dismiss","command collaborator"
"ScrollView","entity boundary small-class","ScrollView","constructor"
"ScrollView","entity boundary small-class","onTouchEvent","predicate non-void-command collaborator"
"ProgressBarIndeterminateDeterminate","commander small-class","ProgressBarIndeterminateDeterminate","constructor"
"ProgressBarIndeterminateDeterminate","commander small-class","setProgress","command"
"ProgressBarIndeterminateDeterminate","commander small-class","stopIndeterminate","set"
"ProgressBarIndeterminate","empty","ProgressBarIndeterminate","constructor"
"ProgressBarCircularIndeterminate","entity commander boundary","ProgressBarCircularIndeterminate","constructor"
"ProgressBarCircularIndeterminate","entity commander boundary","setAttributes","command collaborator"
"ProgressBarCircularIndeterminate","entity commander boundary","makePressColor","property wrapper"
"ProgressBarCircularIndeterminate","entity commander boundary","onDraw","command collaborator"
"ProgressBarCircularIndeterminate","entity commander boundary","drawFirstAnimation","command collaborator"
"ProgressBarCircularIndeterminate","entity commander boundary","drawSecondAnimation","command collaborator"
"ProgressBarCircularIndeterminate","entity commander boundary","setBackgroundColor","command"
"ColorSelector","commander","ColorSelector","constructor"
"ColorSelector","commander","onCreate","command collaborator"
"ColorSelector","commander","show","command"
"ColorSelector","commander","onValueChanged","command"
"ColorSelector","commander","dismiss","command collaborator"
"Slider","unclassified","Slider","constructor"
"Slider","unclassified","getMax","get"
"Slider","unclassified","setMax","set"
"Slider","unclassified","getMin","get"
"Slider","unclassified","setMin","set"
"Slider","unclassified","getOnValueChangedListener","get collaborator"
"Slider","unclassified","setOnValueChangedListener","set collaborator"
"Slider","unclassified","getValue","get"
"Slider","unclassified","setValue","command"
"Slider","unclassified","invalidate","command"
"Slider","unclassified","isShowNumberIndicator","get"
"Slider","unclassified","setShowNumberIndicator","command"
"Slider","unclassified","onTouchEvent","predicate non-void-command collaborator"
"Slider","unclassified","setBackgroundColor","command"
"Slider","unclassified","makePressColor","property wrapper"
"Slider","unclassified","onDraw","command collaborator"
"Slider","unclassified","setAttributes","command collaborator"
"Slider","unclassified","placeBall","command"
"AutoHideButtonFloat","commander","AutoHideButtonFloat","constructor"
"AutoHideButtonFloat","commander","setOnScrollListener","set collaborator"
"AutoHideButtonFloat","commander","setListView","set collaborator"
"AutoHideButtonFloat","commander","onScrollStateChanged","command"
"AutoHideButtonFloat","commander","onScroll","command"
"Button","boundary","Button","constructor"
"Button","boundary","setDefaultProperties","command"
"Button","boundary","onTouchEvent","predicate non-void-command collaborator"
"Button","boundary","onFocusChanged","command collaborator"
"Button","boundary","onInterceptTouchEvent","collaborator incidental"
"Button","boundary","makeCircle","property non-void-command collaborator"
"Button","boundary","makePressColor","property wrapper"
"Button","boundary","setOnClickListener","set collaborator"
"Button","boundary","setBackgroundColor","command collaborator"
"Button","boundary","setRippleSpeed","set"
"Button","boundary","getRippleSpeed","get"
"Button","boundary","setText","command"
"Button","boundary","setTextColor","command"
"Button","boundary","getTextView","get collaborator"
"Button","boundary","getText","property non-void-command"
"ButtonFlat","commander","ButtonFlat","constructor"
"ButtonFlat","commander","setDefaultProperties","command"
"ButtonFlat","commander","setAttributes","command collaborator"
"ButtonFlat","commander","onDraw","command collaborator"
"ButtonFlat","commander","makePressColor","wrapper stateless"
"ButtonFlat","commander","setText","command"
"ButtonFlat","commander","setBackgroundColor","command"
"ButtonFlat","commander","getTextView","get collaborator"
"ButtonFlat","commander","getText","property non-void-command"
