Unique Method Stereotype,Method Count
predicate,3
get set collaborator,9
wrapper,3
property non-void-command,18
set collaborator,24
command,57
property non-void-command factory collaborator,3
property non-void-command collaborator,3
predicate non-void-command,7
get non-void-command collaborator,3
command collaborator,25
wrapper stateless,7
constructor,14
set,71
get,79
get collaborator,12
predicate non-void-command collaborator,19
property wrapper,3
controller stateless,10
property controller,6
Total,376
