Unique Method Stereotype,Method Count
get set factory collaborator,1
predicate controller,1
property factory collaborator,2
set,13
constructor,44
property wrapper,3
get collaborator,6
property factory controller,1
command,41
predicate non-void-command,4
predicate wrapper,6
command collaborator,56
void-accessor controller,1
predicate,4
property non-void-command factory collaborator,5
property non-void-command,8
property non-void-command collaborator,6
property controller,2
set collaborator,12
void-accessor command collaborator,1
predicate non-void-command collaborator,7
incidental,4
controller,5
factory collaborator incidental,1
get,5
get property non-void-command collaborator,1
wrapper stateless,8
get set collaborator,6
controller stateless,4
get set,13
get non-void-command,1
property set collaborator,1
empty,6
factory controller,2
Total,281
