Unique Method Stereotype,Method Count
get property set factory collaborator,1
get predicate non-void-command collaborator,3
void-accessor set,1
factory wrapper stateless,5
property set factory collaborator,2
factory wrapper,1
predicate,13
incidental,294
factory collaborator,2
controller,159
copy-constructor,5
get command collaborator,2
get,262
collaborator incidental,22
get property non-void-command collaborator,8
void-accessor command collaborator,22
property non-void-command factory collaborator,88
property non-void-command,98
predicate set,55
get set collaborator,5
wrapper stateless,416
empty,30
factory controller,6
property factory wrapper,51
command,656
property set,3
factory collaborator incidental,3
get property factory wrapper,3
get property factory controller,10
set,217
constructor,346
predicate non-void-command collaborator,82
wrapper,160
set collaborator,67
property non-void-command collaborator,156
property controller,26
void-accessor wrapper,1
predicate non-void-command,152
controller stateless,253
non-void-command factory collaborator,45
predicate controller,13
factory controller stateless,41
void-accessor command,5
collaborator stateless,15
property wrapper,72
get non-void-command collaborator,12
get controller,2
get collaborator,107
get property non-void-command factory collaborator,9
unclassified,5
get set,5
non-void-command factory,3
set factory collaborator,1
collaborator,3
property factory collaborator,6
command collaborator,832
property,22
property set collaborator,1
property collaborator,3
stateless,5
factory collaborator stateless,39
property factory controller,48
void-accessor controller,10
get set factory collaborator,5
get property non-void-command,20
void-accessor set collaborator,2
get property wrapper,5
get non-void-command,9
get property,3
predicate wrapper,15
Total,5049
