Unique Method Stereotype,Method Count
get property non-void-command factory collaborator,2
empty,3
factory controller,5
property factory collaborator,3
property,7
controller stateless,54
command collaborator,82
collaborator incidental,8
get,8
get property non-void-command collaborator,1
get non-void-command,5
factory collaborator stateless,3
get set,5
wrapper,3
constructor,62
set,7
command,51
predicate non-void-command,4
non-void-command factory collaborator,3
property controller,1
property non-void-command collaborator,66
set collaborator,9
get set factory collaborator,1
get set collaborator,5
get controller,1
factory controller stateless,8
get collaborator,11
controller,6
incidental,12
predicate non-void-command collaborator,15
get non-void-command collaborator,15
property wrapper,6
get property non-void-command,1
get wrapper,3
wrapper stateless,37
property non-void-command,6
property non-void-command factory collaborator,3
Total,522
