Class Name,Class Stereotype,Method Name,Method Stereotype
"TooManyEmptyNewLines","boundary degenerate","tooManyEmptyNewLines2","wrapper stateless"
"TooManyEmptyNewLines","boundary degenerate","tooManyEmptyNewLines3","wrapper stateless"
"TooManyEmptyNewLines","boundary degenerate","tooManyEmptyNewLines4","wrapper stateless"
"TooManyEmptyNewLines","boundary degenerate","tooManyEmptyNewLines5","wrapper stateless"
"TestPrefixInMethodName","pure-controller small-class","checkAndUpdateTestMethodNames","controller"
"ParameterNamesInClassesTest","degenerate small-class","method","empty"
"ParameterNamesInClassesTest","degenerate small-class","javacParametersEnabled","wrapper stateless"
"OperatorsUseInterfaces","commander","checkFlowable","command"
"OperatorsUseInterfaces","commander","checkObservable","command"
"OperatorsUseInterfaces","commander","checkMaybe","command"
"OperatorsUseInterfaces","commander","checkSingle","command"
"OperatorsUseInterfaces","commander","checkCompletable","command"
"OperatorsUseInterfaces","commander","checkParallelFlowable","command"
"OperatorsUseInterfaces","commander","checkClass","command collaborator"
"OperatorsUseInterfaces","commander","method1","empty"
"OperatorsUseInterfaces","commander","method2","empty"
"OperatorsUseInterfaces","commander","method3","empty"
"OperatorsUseInterfaces","commander","method4","empty"
"OperatorsUseInterfaces","commander","method5","empty"
"OperatorsUseInterfaces","commander","method6","empty"
"OperatorsUseInterfaces","commander","checkSelf","command"
"OperatorsAreFinal","commander","directoryOf","factory controller stateless"
"OperatorsAreFinal","commander","check","command collaborator"
"OperatorsAreFinal","commander","flowable","command"
"OperatorsAreFinal","commander","observable","command"
"OperatorsAreFinal","commander","single","command"
"OperatorsAreFinal","commander","completable","command"
"OperatorsAreFinal","commander","maybe","command"
"NonNullMethodTypeArgumentCheck","commander boundary degenerate","parseTypeArguments","command"
"NonNullMethodTypeArgumentCheck","commander boundary degenerate","flowable","wrapper stateless"
"NonNullMethodTypeArgumentCheck","commander boundary degenerate","observable","wrapper stateless"
"NonNullMethodTypeArgumentCheck","commander boundary degenerate","maybe","wrapper stateless"
"NonNullMethodTypeArgumentCheck","commander boundary degenerate","single","wrapper stateless"
"NonNullMethodTypeArgumentCheck","commander boundary degenerate","completable","wrapper stateless"
"NonNullMethodTypeArgumentCheck","commander boundary degenerate","parallel","wrapper stateless"
