Unique Class Stereotype,Class Count
entity factory controller small-class,1
commander boundary lazy-class,1
lazy-class data-class small-class,1
data-class,1
entity,2
minimal-entity boundary,1
commander boundary lazy-class small-class,1
data-provider boundary,4
entity data-provider boundary,1
factory controller small-class,5
factory degenerate small-class,3
commander boundary data-class small-class,3
commander small-class,5
data-provider boundary data-class small-class,7
entity boundary small-class,64
small-class,30
boundary large-class degenerate,1
unclassified,56
boundary lazy-class data-class,1
controller degenerate,50
commander boundary lazy-class degenerate,5
factory pure-controller small-class,1
entity commander boundary,15
pure-controller degenerate small-class,63
boundary degenerate small-class,117
commander boundary degenerate,19
factory controller,1
entity small-class,3
empty,144
commander,35
lazy-class,1
boundary large-class,2
boundary lazy-class,1
degenerate small-class,41
entity minimal-entity commander boundary,1
commander boundary,90
boundary degenerate,164
factory pure-controller degenerate small-class,1
controller,5
entity minimal-entity boundary,3
data-provider boundary small-class,1
factory controller data-class small-class,3
pure-controller,1
entity boundary,63
data-class small-class,1
large-class,1
pure-controller small-class,35
degenerate,292
boundary,31
pure-controller degenerate,60
lazy-class degenerate,3
commander boundary small-class,413
factory small-class,1
commander data-class small-class,1
boundary small-class,14
data-provider degenerate,3
Total,1873
