Unique Class Stereotype,Class Count
data-provider,1
pure-controller small-class,1
entity minimal-entity boundary,2
commander boundary data-class small-class,3
data-provider boundary small-class,1
commander,26
pure-controller degenerate,1
boundary,5
commander boundary small-class,11
degenerate,5
empty,31
unclassified,17
entity boundary small-class,2
small-class,9
boundary degenerate,1
entity boundary data-class small-class,1
commander boundary,12
commander small-class,3
minimal-entity boundary,1
boundary degenerate small-class,1
entity commander boundary,4
data-provider boundary data-class,1
Total,139
