Unique Method Stereotype,Method Count
property collaborator,1
get,2
controller,1
factory controller,1
set collaborator,9
command,13
empty,1
set,5
constructor,24
collaborator incidental,1
property non-void-command collaborator,16
property non-void-command,6
predicate non-void-command collaborator,2
property wrapper,5
get non-void-command collaborator,13
command collaborator,18
property controller,1
controller stateless,2
get collaborator,3
incidental,4
wrapper stateless,5
get non-void-command,20
wrapper,4
Total,157
