Unique Class Stereotype,Class Count
large-class,1
data-provider data-class,1
commander lazy-class small-class,1
entity data-class small-class,2
entity boundary data-class small-class,2
data-provider boundary lazy-class small-class,2
factory degenerate,2
minimal-entity,1
boundary lazy-class degenerate,4
commander boundary data-class,4
pure-controller small-class,6
boundary,180
degenerate,38
commander boundary small-class,58
commander data-class small-class,9
boundary small-class,16
entity boundary degenerate,2
commander lazy-class,1
boundary data-class,4
commander small-class,72
entity small-class,8
data-class,1
commander boundary data-class small-class,11
entity boundary,90
commander,605
factory controller,3
factory degenerate small-class,6
data-provider boundary data-class small-class,10
data-provider data-class small-class,6
data-provider,48
entity factory controller,2
commander boundary lazy-class,1
lazy-class,5
data-provider small-class,13
entity commander boundary,47
lazy-class small-class,1
factory pure-controller small-class,3
entity boundary lazy-class,1
boundary degenerate small-class,35
unclassified,445
controller small-class,9
degenerate small-class,51
boundary lazy-class,1
commander boundary,211
small-class,54
entity minimal-entity commander boundary,3
minimal-entity boundary,1
data-class small-class,4
commander degenerate,7
factory controller small-class,13
data-provider boundary,17
entity minimal-entity boundary,5
pure-controller degenerate small-class,29
entity boundary small-class,29
minimal-entity commander boundary,7
entity factory controller data-class small-class,1
controller degenerate,2
entity factory controller small-class,8
data-provider lazy-class degenerate,5
entity,7
empty,939
data-provider lazy-class small-class,1
data-provider boundary data-class,5
data-provider degenerate,4
data-provider boundary small-class,14
controller,10
factory pure-controller degenerate small-class,3
entity data-provider boundary,6
pure-controller degenerate,4
data-provider lazy-class,3
commander boundary lazy-class small-class,3
boundary degenerate,22
commander lazy-class degenerate,1
commander boundary degenerate,4
Total,3230
