Unique Method Stereotype,Method Count
void-accessor set,1
get property factory collaborator,1
factory,2
get predicate set collaborator,1
get predicate collaborator,1
collaborator,1
factory wrapper,4
property set factory collaborator,12
get predicate wrapper,1
get property set,6
get property factory wrapper,9
property factory,18
property set collaborator,42
set factory,1
get wrapper,17
get property set factory collaborator,3
void-accessor command collaborator,79
collaborator incidental,230
get,1130
get command collaborator,11
get property non-void-command collaborator,85
property non-void-command factory,10
collaborator stateless,47
predicate set,28
property non-void-command,1199
property non-void-command factory collaborator,252
stateless,16
property collaborator,33
get command,3
wrapper stateless,555
non-void-command,2
set collaborator,800
property non-void-command collaborator,1253
property controller,112
void-accessor collaborator,1
copy-constructor,62
incidental,694
factory collaborator,2
controller,283
empty,887
get property controller,9
factory controller,54
get predicate controller,5
predicate wrapper,108
predicate,304
void-accessor wrapper,2
predicate non-void-command,948
get controller,6
get collaborator,737
command collaborator,4520
property,316
constructor,3031
set,1696
void-accessor set collaborator,1
get property non-void-command,37
get property collaborator,24
non-void-command collaborator,12
get non-void-command,109
get property wrapper,18
non-void-command factory,2
get predicate non-void-command,12
get set,137
predicate non-void-command collaborator,761
wrapper,227
property wrapper,402
get non-void-command collaborator,118
unclassified,28
get property non-void-command factory collaborator,58
void-accessor controller,5
get set factory collaborator,30
property factory controller,72
factory wrapper stateless,32
void-accessor,2
predicate collaborator,30
property factory collaborator,54
factory collaborator incidental,2
property set,37
get property non-void-command factory,2
predicate controller,101
controller stateless,398
non-void-command factory collaborator,149
command,6357
property factory wrapper,31
get set collaborator,65
get property factory,5
get non-void-command factory collaborator,33
get property set collaborator,9
void-accessor command,37
factory controller stateless,46
get predicate non-void-command collaborator,24
predicate set collaborator,25
get property,21
factory collaborator stateless,63
Total,29206
