Unique Class Stereotype,Class Count
factory controller lazy-class,1
factory controller small-class,1
data-provider lazy-class,2
data-provider boundary data-class small-class,2
degenerate small-class,1
boundary lazy-class,1
boundary controller degenerate,1
data-class,2
commander boundary,16
boundary degenerate,3
commander small-class,37
data-provider lazy-class degenerate,2
entity boundary small-class,15
small-class,14
pure-controller small-class,12
boundary,27
degenerate,5
data-class small-class,1
entity boundary,25
controller small-class,2
unclassified,35
data-provider data-class small-class,2
data-provider,3
entity minimal-entity boundary,1
pure-controller degenerate small-class,3
entity commander boundary,7
boundary degenerate small-class,1
data-provider boundary,1
data-provider data-class,1
boundary small-class,3
boundary lazy-class degenerate,1
controller degenerate,1
commander degenerate,1
commander boundary small-class,8
factory pure-controller degenerate small-class,3
empty,270
entity small-class,1
commander,17
data-provider small-class,1
Total,530
