Unique Method Stereotype,Method Count
collaborator stateless,2
factory wrapper stateless,2
get non-void-command,2
controller,42
incidental,65
copy-constructor,5
property set collaborator,4
predicate non-void-command collaborator,68
wrapper,12
stateless,12
property collaborator,8
property non-void-command factory collaborator,33
property non-void-command,74
collaborator incidental,27
get,79
get property non-void-command collaborator,1
wrapper stateless,66
predicate non-void-command,65
predicate wrapper,6
controller stateless,82
non-void-command factory collaborator,23
predicate controller,6
property non-void-command collaborator,269
property controller,12
get non-void-command collaborator,17
property wrapper,21
unclassified,2
non-void-command factory,2
get property non-void-command factory collaborator,2
empty,36
factory collaborator incidental,1
property set,1
get collaborator,44
constructor,265
factory controller,3
get property controller,1
set,58
property factory collaborator,5
set factory collaborator,1
command collaborator,343
property,8
void-accessor command collaborator,2
predicate set collaborator,1
predicate collaborator,1
command,264
property factory wrapper,1
predicate,16
get predicate collaborator,1
get set collaborator,3
factory controller stateless,20
get predicate wrapper,1
get property wrapper,4
property factory controller,3
void-accessor controller,1
get set factory collaborator,4
get wrapper,1
factory collaborator stateless,2
get property collaborator,1
get property non-void-command,2
set collaborator,31
non-void-command,1
factory wrapper,1
get property set collaborator,1
Total,2137
