Unique Class Stereotype,Class Count
data-provider boundary degenerate,1
entity factory controller small-class,1
commander data-class small-class,1
degenerate small-class,4
commander boundary degenerate,1
pure-controller small-class,1
commander small-class,11
commander boundary,7
commander,30
entity boundary small-class,2
commander boundary small-class,1
commander degenerate,3
lazy-class degenerate,1
pure-controller degenerate small-class,2
empty,27
unclassified,9
degenerate,1
boundary,2
minimal-entity commander boundary,1
entity boundary,2
Total,108
