Class Name,Class Stereotype,Method Name,Method Stereotype
"Vector","data-provider","Vector","constructor",
"Vector","data-provider","Vector","constructor",
"Vector","data-provider","length","get",
"Vector","data-provider","dimension","get",
"Vector","data-provider","dot","property wrapper",
"Vector","data-provider","magnitude","property non-void-command",
"Vector","data-provider","distanceTo","property non-void-command",
"Vector","data-provider","plus","wrapper",
"Vector","data-provider","minus","wrapper",
"Vector","data-provider","cartesian","get",
"Vector","data-provider","times","wrapper",
"Vector","data-provider","scale","wrapper",
"Vector","data-provider","direction","non-void-command",
"Vector","data-provider","toString","property controller",
"UF","unclassified","UF","constructor",
"UF","unclassified","find","property set",
"UF","unclassified","count","get",
"UF","unclassified","connected","predicate non-void-command",
"UF","unclassified","union","command",
"UF","unclassified","validate","wrapper",
"TwoPersonZeroSumGame","unclassified","TwoPersonZeroSumGame","constructor",
"TwoPersonZeroSumGame","unclassified","value","property non-void-command",
"TwoPersonZeroSumGame","unclassified","scale","property non-void-command",
"TwoPersonZeroSumGame","unclassified","row","property non-void-command",
"TwoPersonZeroSumGame","unclassified","column","property non-void-command",
"TwoPersonZeroSumGame","unclassified","isPrimalFeasible","predicate non-void-command",
"TwoPersonZeroSumGame","unclassified","isDualFeasible","predicate non-void-command",
"TwoPersonZeroSumGame","unclassified","isNashEquilibrium","predicate non-void-command",
"TwoPersonZeroSumGame","unclassified","certifySolution","predicate non-void-command",
"TrieSET","unclassified","TrieSET","constructor",
"TrieSET","unclassified","contains","predicate non-void-command collaborator",
"TrieSET","unclassified","get","property non-void-command collaborator",
"TrieSET","unclassified","add","set",
"TrieSET","unclassified","add","property set factory collaborator",
"TrieSET","unclassified","size","get",
"TrieSET","unclassified","isEmpty","predicate non-void-command",
"TrieSET","unclassified","iterator","property non-void-command",
"TrieSET","unclassified","keysWithPrefix","property non-void-command factory collaborator",
"TrieSET","unclassified","collect","command",
"TrieSET","unclassified","keysThatMatch","property non-void-command factory collaborator",
"TrieSET","unclassified","collect","command",
"TrieSET","unclassified","longestPrefixOf","property non-void-command",
"TrieSET","unclassified","longestPrefixOf","property non-void-command",
"TrieSET","unclassified","delete","set",
"TrieSET","unclassified","delete","property set collaborator",
"Transaction","data-provider boundary","Transaction","constructor",
"Transaction","data-provider boundary","Transaction","constructor",
"Transaction","data-provider boundary","who","get",
"Transaction","data-provider boundary","when","get collaborator",
"Transaction","data-provider boundary","amount","get",
"Transaction","data-provider boundary","toString","property wrapper",
"Transaction","data-provider boundary","compareTo","property wrapper",
"Transaction","data-provider boundary","equals","predicate non-void-command collaborator",
"Transaction","data-provider boundary","hashCode","property non-void-command",
"TopologicalX","entity boundary","TopologicalX","constructor",
"TopologicalX","entity boundary","TopologicalX","constructor",
"TopologicalX","entity boundary","order","get collaborator",
"TopologicalX","entity boundary","hasOrder","predicate",
"TopologicalX","entity boundary","rank","get property non-void-command",
"TopologicalX","entity boundary","check","predicate non-void-command collaborator",
"TopologicalX","entity boundary","check","predicate non-void-command collaborator",
"TopologicalX","entity boundary","validateVertex","wrapper",
"Topological","data-provider","Topological","constructor",
"Topological","data-provider","Topological","constructor",
"Topological","data-provider","order","get collaborator",
"Topological","data-provider","hasOrder","predicate",
"Topological","data-provider","isDAG","predicate non-void-command",
"Topological","data-provider","rank","get property non-void-command",
"Topological","data-provider","validateVertex","wrapper",
"ThreeSumFast","empty","ThreeSumFast","constructor",
"ThreeSum","empty","ThreeSum","constructor",
"TST<Value>","boundary","TST","constructor",
"TST<Value>","boundary","size","get",
"TST<Value>","boundary","contains","predicate non-void-command",
"TST<Value>","boundary","get","property non-void-command collaborator",
"TST<Value>","boundary","get","property non-void-command collaborator",
"TST<Value>","boundary","put","command collaborator",
"TST<Value>","boundary","put","property non-void-command factory collaborator",
"TST<Value>","boundary","longestPrefixOf","property controller",
"TST<Value>","boundary","keys","property non-void-command factory collaborator",
"TST<Value>","boundary","keysWithPrefix","property non-void-command factory collaborator",
"TST<Value>","boundary","collect","command",
"TST<Value>","boundary","keysThatMatch","property non-void-command factory collaborator",
"TST<Value>","boundary","collect","command",
"SuffixArrayX","unclassified","SuffixArrayX","constructor",
"SuffixArrayX","unclassified","sort","command",
"SuffixArrayX","unclassified","insertion","command",
"SuffixArrayX","unclassified","less","predicate",
"SuffixArrayX","unclassified","exch","command",
"SuffixArrayX","unclassified","length","get",
"SuffixArrayX","unclassified","index","get wrapper",
"SuffixArrayX","unclassified","lcp","property non-void-command",
"SuffixArrayX","unclassified","lcp","property",
"SuffixArrayX","unclassified","select","property wrapper",
"SuffixArrayX","unclassified","rank","property non-void-command",
"SuffixArrayX","unclassified","compare","property controller",
"SuffixArray","data-provider boundary","SuffixArray","constructor",
"SuffixArray","data-provider boundary","length","get",
"SuffixArray","data-provider boundary","index","get wrapper",
"SuffixArray","data-provider boundary","lcp","property wrapper",
"SuffixArray","data-provider boundary","select","get wrapper",
"SuffixArray","data-provider boundary","rank","property wrapper",
"StdStats","empty","StdStats","constructor",
"StdPicture","empty","StdPicture","constructor",
"StdOut","empty","StdOut","constructor",
"StdIn","empty","StdIn","constructor",
"TransitiveClosure","small-class","TransitiveClosure","constructor",
"TransitiveClosure","small-class","reachable","get non-void-command",
"TransitiveClosure","small-class","validateVertex","wrapper",
"StdAudio","empty","StdAudio","constructor",
"StdArrayIO","empty","StdArrayIO","constructor",
"Shell","empty","Shell","constructor",
"Selection","empty","Selection","constructor",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","ST","constructor",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","get","property non-void-command collaborator",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","put","command collaborator",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","delete","command collaborator",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","remove","command collaborator",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","contains","predicate non-void-command collaborator",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","size","property non-void-command",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","isEmpty","predicate non-void-command",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","keys","property non-void-command collaborator",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","iterator","property non-void-command collaborator",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","min","property non-void-command collaborator",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","max","property non-void-command collaborator",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","ceiling","property non-void-command collaborator",
"ST<KeyextendsComparable<Key>,Value>","entity boundary","floor","property non-void-command collaborator",
"ResizingArrayBag<Item>","unclassified","ResizingArrayBag","constructor",
"ResizingArrayBag<Item>","unclassified","isEmpty","predicate",
"ResizingArrayBag<Item>","unclassified","size","get",
"ResizingArrayBag<Item>","unclassified","resize","set",
"ResizingArrayBag<Item>","unclassified","add","command collaborator",
"ResizingArrayBag<Item>","unclassified","iterator","factory wrapper stateless",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","RedBlackBST","constructor",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","isRed","predicate collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","size","collaborator incidental",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","size","property non-void-command",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","isEmpty","predicate",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","get","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","get","controller stateless",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","contains","predicate non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","put","command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","put","property non-void-command factory collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","deleteMin","command",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","deleteMin","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","deleteMax","command",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","deleteMax","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","delete","command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","delete","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","rotateRight","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","rotateLeft","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","flipColors","collaborator incidental",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","moveRedLeft","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","moveRedRight","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","balance","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","height","property non-void-command",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","height","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","min","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","min","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","max","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","max","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","floor","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","floor","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","ceiling","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","ceiling","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","select","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","select","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","rank","property non-void-command collaborator",
"RedBlackBST<KeyextendsComparable<Key>,Value>","boundary","rank","property non-void-command collaborator",
