Unique Method Stereotype,Method Count
collaborator stateless,1
get wrapper,1
get non-void-command,1
get property wrapper,1
property,5
predicate wrapper,2
set,8
wrapper stateless,12
command collaborator,43
get collaborator,29
non-void-command factory collaborator,18
predicate non-void-command,2
wrapper,4
factory collaborator stateless,4
factory controller stateless,2
controller stateless,23
property non-void-command,51
property non-void-command factory collaborator,2
property factory controller,1
constructor,91
property set,1
command,51
collaborator incidental,20
get,32
stateless,5
empty,14
factory controller,3
get non-void-command collaborator,1
property wrapper,9
property non-void-command collaborator,48
property controller,12
set collaborator,10
incidental,8
copy-constructor,3
predicate non-void-command collaborator,6
controller,8
Total,532
