Class Name,Class Stereotype,Method Name,Method Stereotype
"GifViewUtilsDensityTest","commander","getMockedResources","get property non-void-command collaborator"
"GifViewUtilsDensityTest","commander","testHighResourceDensities","command"
"GifViewUtilsDensityTest","commander","testLowHighDensity","command"
"GifViewUtilsDensityTest","commander","testNoneResourceDensities","command"
"GifViewUtilsDensityTest","commander","testNoneDisplayDensities","command"
"GifViewUtilsDensityTest","commander","testInvalidDensities","command"
"CallbackWeakReferenceTest","unclassified","testEquals","wrapper"
"CallbackWeakReferenceTest","unclassified","testNotEqualReferences","wrapper"
"CallbackWeakReferenceTest","unclassified","testNotEqualDifferentObjects","wrapper"
"CallbackWeakReferenceTest","unclassified","testHashCode","controller"
"CallbackWeakReferenceTest","unclassified","testHashCodeNull","controller"
"CornerRadiusTransform","minimal-entity boundary","CornerRadiusTransform","constructor"
"CornerRadiusTransform","minimal-entity boundary","setCornerRadius","command collaborator"
"CornerRadiusTransform","minimal-entity boundary","setCornerRadiusSafely","command collaborator"
"CornerRadiusTransform","minimal-entity boundary","getCornerRadius","get"
"CornerRadiusTransform","minimal-entity boundary","getBounds","get collaborator"
"CornerRadiusTransform","minimal-entity boundary","onBoundsChange","set collaborator"
"CornerRadiusTransform","minimal-entity boundary","onDraw","command collaborator"
"RenderTask","commander small-class","RenderTask","constructor"
"RenderTask","commander small-class","doWork","command"
"PlaceholderDrawingSurfaceTextureListener","commander degenerate","PlaceholderDrawingSurfaceTextureListener","constructor"
"PlaceholderDrawingSurfaceTextureListener","commander degenerate","onSurfaceTextureAvailable","command collaborator"
"PlaceholderDrawingSurfaceTextureListener","commander degenerate","onSurfaceTextureSizeChanged","empty"
"PlaceholderDrawingSurfaceTextureListener","commander degenerate","onSurfaceTextureDestroyed","collaborator incidental"
"PlaceholderDrawingSurfaceTextureListener","commander degenerate","onSurfaceTextureUpdated","empty"
"GifRenderingExecutor","empty","GifRenderingExecutor","constructor"
"InputStreamTest","pure-controller degenerate small-class","gifDrawableCreatedFromInputStream","controller stateless"
"AllocationByteCountTest","pure-controller degenerate small-class","allocationByteCountIsConsistent","controller stateless"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","sampleSize","property non-void-command collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","build","property non-void-command collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","with","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","threadPoolSize","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","taskExecutor","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","renderingTriggeredOnDraw","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","setRenderingTriggeredOnDraw","property non-void-command collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","options","property non-void-command collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","from","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","from","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","from","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","from","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","from","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","from","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","from","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","from","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","from","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","from","property set collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","getInputSource","get collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","getOldDrawable","get collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","getExecutor","get collaborator"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","isRenderingTriggeredOnDraw","get"
"GifDrawableInit<TextendsGifDrawableInit<T>>","entity minimal-entity boundary","getOptions","get collaborator"
"GifViewSavedState","small-class","GifViewSavedState","constructor"
"GifViewSavedState","small-class","GifViewSavedState","constructor"
"GifViewSavedState","small-class","GifViewSavedState","constructor"
"GifViewSavedState","small-class","writeToParcel","command"
"GifViewSavedState","small-class","restoreState","controller"
"GifOptionsTest","commander","setUp","set"
"GifOptionsTest","commander","testInitialValues","wrapper"
"GifOptionsTest","commander","setInSampleSize","command"
"GifOptionsTest","commander","setInIsOpaque","command"
"GifOptionsTest","commander","copyFromNonNull","command collaborator"
"GifOptionsTest","commander","copyFromNull","command collaborator"
"GifViewUtils","empty","GifViewUtils","constructor"
"GifViewDescriptorTest","commander boundary","setUp","set collaborator"
"GifViewDescriptorTest","commander boundary","loopCountSetOnGifImageButton","command collaborator"
"GifViewDescriptorTest","commander boundary","loopCountSetOnGifImageView","command collaborator"
"GifViewDescriptorTest","commander boundary","loopCountSetOnGifTextView","command collaborator"
"GifDrawableExceptionTest","commander","setUp","set collaborator"
"GifDrawableExceptionTest","commander","tearDown","command"
"GifDrawableExceptionTest","commander","frameIndexOutOfBoundsMessageContainsRange","command"
"GifDrawableExceptionTest","commander","exceptionThrownWhenPixelsArrayTooSmall","command"
"GifDrawableExceptionTest","commander","exceptionThrownWhenPixelCoordinateXOutOfRange","command"
"GifDrawableExceptionTest","commander","exceptionThrownWhenPixelCoordinateYOutOfRange","command"
"MultiCallbackTest","commander","setUp","command"
"MultiCallbackTest","commander","testInvalidateDrawable","command"
"MultiCallbackTest","commander","testScheduleDrawable","command"
"MultiCallbackTest","commander","testUnscheduleDrawable","command"
"MultiCallbackTest","commander","testViewRemoval","command"
"MultiCallbackTest","commander","testViewInvalidate","command collaborator"
"GifDecoder","unclassified","GifDecoder","constructor"
"GifDecoder","unclassified","GifDecoder","constructor"
"GifDecoder","unclassified","getComment","property non-void-command"
"GifDecoder","unclassified","getLoopCount","property non-void-command"
"GifDecoder","unclassified","getSourceLength","property non-void-command"
"GifDecoder","unclassified","seekToTime","command collaborator"
"GifDecoder","unclassified","seekToFrame","command collaborator"
"GifDecoder","unclassified","getAllocationByteCount","property non-void-command"
"GifDecoder","unclassified","getFrameDuration","property non-void-command collaborator"
"GifDecoder","unclassified","getDuration","property non-void-command"
"GifDecoder","unclassified","getWidth","property non-void-command"
"GifDecoder","unclassified","getHeight","property non-void-command"
