Unique Method Stereotype,Method Count
wrapper stateless,3
property,1
void-accessor command,9
void-accessor command collaborator,2
predicate non-void-command collaborator,1
property non-void-command,2
get non-void-command factory collaborator,1
get property non-void-command collaborator,1
empty,3
unclassified,1
command,171
property non-void-command factory collaborator,1
set collaborator,14
property non-void-command collaborator,9
constructor,146
set,64
void-accessor set,7
controller stateless,4
command collaborator,48
incidental,3
get collaborator,7
get,21
wrapper,6
Total,525
