Class Name,Class Stereotype,Method Name,Method Stereotype
"TypeSimplifierTest","commander boundary","setUp","command",
"TypeSimplifierTest","commander boundary","testQuirkyTypeMirrors","command collaborator",
"TypeSimplifierTest","commander boundary","testTypeMirrorSet","command",
"TypeSimplifierTest","commander boundary","testTypeMirrorSetWildcardCapture","command collaborator",
"TypeSimplifierTest","commander boundary","testPackageNameOfString","command",
"TypeSimplifierTest","commander boundary","testPackageNameOfMapEntry","command",
"TypeSimplifierTest","commander boundary","testIsCastingUnchecked","command",
"TypeSimplifierTest","commander boundary","objectMirror","property non-void-command collaborator",
"TypeSimplifierTest","commander boundary","cloneReturnTypeMirror","property non-void-command collaborator",
"TypeSimplifierTest","commander boundary","typeElementOf","property non-void-command collaborator",
"TypeSimplifierTest","commander boundary","typeMirrorOf","property non-void-command collaborator",
"SimplifyWithAnnotationsTest","boundary small-class","testSimplifyWithAnnotations","wrapper",
"SimpleServiceLoaderTest","degenerate","loadOnce","controller stateless",
"SimpleServiceLoaderTest","degenerate","loadWithDuplicates","controller stateless",
"SimpleServiceLoaderTest","degenerate","blankLinesAndComments","wrapper stateless",
"SimpleServiceLoaderTest","degenerate","loadTwiceFromSameLoader","controller stateless",
"SimpleServiceLoaderTest","degenerate","loadTwiceFromDifferentLoaders","controller stateless",
"SimpleServiceLoaderTest","degenerate","noProviders","wrapper stateless",
"SimpleServiceLoaderTest","degenerate","classNotFound","wrapper stateless",
"SimpleServiceLoaderTest","degenerate","wrongTypeClass","wrapper stateless",
"SimpleServiceLoaderTest","degenerate","couldNotConstruct","wrapper stateless",
"SimpleServiceLoaderTest","degenerate","brokenLoader","wrapper stateless",
"PropertyAnnotationsTest","commander","toString","incidental",
"PropertyAnnotationsTest","commander","getImports","controller stateless",
"PropertyAnnotationsTest","commander","assertGeneratedMatches","wrapper stateless",
"PropertyAnnotationsTest","commander","testSimpleAnnotation","command",
"PropertyAnnotationsTest","commander","testSingleStringValueAnnotation","command",
"PropertyAnnotationsTest","commander","testMultiStringValueAnnotation","wrapper stateless",
"PropertyAnnotationsTest","commander","testNumberValueAnnotation","command",
"PropertyAnnotationsTest","commander","testByteValueAnnotation","command",
"PropertyAnnotationsTest","commander","testDecimalValueAnnotation","command",
"PropertyAnnotationsTest","commander","testOtherValuesAnnotation","command",
"PropertyAnnotationsTest","commander","testClassAnnotation","command",
"PropertyAnnotationsTest","commander","testEnumAnnotation","command",
"PropertyAnnotationsTest","commander","testEmptyAnnotationAnnotation","command",
"PropertyAnnotationsTest","commander","testValuedAnnotationAnnotation","command",
"PropertyAnnotationsTest","commander","testNumberArrayAnnotation","command",
"PropertyAnnotationsTest","commander","testByteArrayAnnotation","command",
"PropertyAnnotationsTest","commander","testDecimalArrayAnnotation","command",
"PropertyAnnotationsTest","commander","testOtherArrayAnnotation","command",
"PropertyAnnotationsTest","commander","testClassArrayAnnotation","command",
"PropertyAnnotationsTest","commander","testImportedClassArrayAnnotation","wrapper",
"PropertyAnnotationsTest","commander","testEnumArrayAnnotation","command",
"PropertyAnnotationsTest","commander","testArrayOfEmptyAnnotationAnnotation","command",
"PropertyAnnotationsTest","commander","testArrayOfValuedAnnotationAnnotation","command",
"PropertyAnnotationsTest","commander","testCopyingMethodAnnotations","command collaborator",
"PropertyAnnotationsTest","commander","testCopyingMethodAnnotationsToGeneratedFields","command collaborator",
"IncrementalExtensionTest","pure-controller degenerate","builtInExtensionsAreIsolating","controller stateless",
"IncrementalExtensionTest","pure-controller degenerate","customExtensionsAreNotIsolatingByDefault","controller stateless",
"IncrementalExtensionTest","pure-controller degenerate","customExtensionsCanBeIsolating","controller stateless",
"GuavaCollectionBuildersTest","commander boundary small-class","testImmutableBuilders","command collaborator",
"GuavaCollectionBuildersTest","commander boundary small-class","checkImmutableClass","command collaborator",
"GeneratedDoesNotExistTest","boundary small-class","GeneratedDoesNotExistTest","constructor",
"GeneratedDoesNotExistTest","boundary small-class","test","wrapper",
"ExtensionTest","boundary degenerate","testExtensionCompilation","wrapper stateless",
"ExtensionTest","boundary degenerate","testExtensionConsumesProperties","wrapper stateless",
"ExtensionTest","boundary degenerate","testDoesntRaiseWarningForConsumedProperties","wrapper stateless",
"ExtensionTest","boundary degenerate","testDoesntRaiseWarningForToBuilder","controller stateless",
"ExtensionTest","boundary degenerate","testCantConsumeTwice","wrapper stateless",
"ExtensionTest","boundary degenerate","testCantConsumeNonExistentProperty","wrapper stateless",
"ExtensionTest","boundary degenerate","testCantConsumeConcreteMethod","controller stateless",
"ExtensionTest","boundary degenerate","testCantConsumeNonExistentMethod","controller stateless",
"ExtensionTest","boundary degenerate","testExtensionWithoutConsumedPropertiesFails","wrapper stateless",
"ExtensionTest","boundary degenerate","testConsumeBuilderMethod","controller stateless",
"ExtensionTest","boundary degenerate","testAbstractBuilderMethodNotConsumedFails","wrapper stateless",
"ExtensionTest","boundary degenerate","testConsumeMethodWithArguments","wrapper stateless",
"ExtensionTest","boundary degenerate","testExtensionWithBuilderCompilation","wrapper stateless",
"ExtensionTest","boundary degenerate","testLastExtensionGeneratesNoCode","wrapper stateless",
"ExtensionTest","boundary degenerate","testFirstExtensionGeneratesNoCode","wrapper stateless",
"ExtensionTest","boundary degenerate","testMiddleExtensionGeneratesNoCode","wrapper stateless",
"ExtensionTest","boundary degenerate","testLoneExtensionGeneratesNoCode","command",
"ExtensionTest","boundary degenerate","doTestNoCode","wrapper stateless",
"ExtensionTest","boundary degenerate","testTwoExtensionsBothWantToBeFinal","wrapper stateless",
"ExtensionTest","boundary degenerate","testNonFinalThenFinal","wrapper stateless",
"ExtensionTest","boundary degenerate","testFinalThenNonFinal","wrapper stateless",
"ExtensionTest","boundary degenerate","testUnconsumedMethod","wrapper stateless",
"ExtensionTest","boundary degenerate","testBadJarDoesntBlowUp","command collaborator",
"ExtensionTest","boundary degenerate","doTestBadJarDoesntBlowUp","controller stateless",
"ExtensionTest","boundary degenerate","extensionsWithAnnotatedOptions","controller",
"ExtensionTest","boundary degenerate","extensionsWithImplementedOptions","wrapper",
"ExtensionTest","boundary degenerate","propertyTypes","controller stateless",
"ExtensionTest","boundary degenerate","finalAutoValueClassName","wrapper stateless",
"ExtensionTest","boundary degenerate","builderContext","controller stateless",
"ExtensionTest","boundary degenerate","builderContextWithInheritance","controller stateless",
"ExtensionTest","boundary degenerate","oddBuilderContext","controller stateless",
"ExtensionTest","boundary degenerate","propertyErrorShouldNotCrash","wrapper stateless",
"BuilderRequiredPropertiesTest","commander boundary","initTypes","command",
"BuilderRequiredPropertiesTest","commander boundary","fieldDeclarations","command",
"BuilderRequiredPropertiesTest","commander boundary","fieldDeclarations","property non-void-command collaborator",
"BuilderRequiredPropertiesTest","commander boundary","initToAllSet","command",
"BuilderRequiredPropertiesTest","commander boundary","initToAllSet","property non-void-command collaborator",
"BuilderRequiredPropertiesTest","commander boundary","markAsSet_reference","command collaborator",
"BuilderRequiredPropertiesTest","commander boundary","markAsSet_byte","command collaborator",
"BuilderRequiredPropertiesTest","commander boundary","markAsSet_short","command collaborator",
"BuilderRequiredPropertiesTest","commander boundary","markAsSet_int","command collaborator",
