Unique Method Stereotype,Method Count
set collaborator,1
get wrapper,4
property non-void-command collaborator,5
property non-void-command,12
incidental,2
get collaborator,6
predicate non-void-command collaborator,4
set,2
constructor,62
empty,1
command,27
controller,12
void-accessor command collaborator,2
factory controller stateless,5
get set collaborator,2
factory wrapper stateless,3
property controller,2
controller stateless,7
command collaborator,29
get non-void-command collaborator,11
get controller,1
get,14
get non-void-command,19
get set,18
wrapper stateless,1
Total,252
