Unique Class Stereotype,Class Count
commander boundary degenerate,1
boundary data-class small-class,1
commander boundary data-class,1
commander boundary,3
data-provider data-class,2
pure-controller small-class,2
commander boundary small-class,11
data-provider boundary small-class,1
commander,7
factory controller small-class,1
controller degenerate,2
empty,31
unclassified,14
entity boundary small-class,1
small-class,5
commander small-class,14
boundary degenerate small-class,1
factory controller,2
entity commander boundary,3
boundary,2
pure-controller degenerate,4
data-class,7
pure-controller degenerate small-class,3
data-class small-class,2
degenerate,1
Total,122
