Unique Class Stereotype,Class Count
entity commander boundary,1
entity data-provider boundary,3
entity,1
entity minimal-entity boundary,5
data-provider,4
commander boundary small-class,6
degenerate small-class,3
minimal-entity boundary,4
degenerate,2
entity boundary degenerate,2
boundary data-class small-class,1
commander boundary data-class small-class,1
commander boundary,2
boundary degenerate,4
lazy-class,1
boundary,34
entity boundary data-class,3
commander,5
entity boundary,34
entity boundary small-class,3
small-class,2
empty,90
unclassified,14
data-provider boundary,4
data-provider boundary data-class small-class,3
Total,232
