Class Name,Class Stereotype,Method Name,Method Stereotype
"TemplatizedTypeTest","unclassified","testTemplatizedType","command collaborator",
"TemplatizedTypeTest","unclassified","testPrint1","controller",
"TemplatizedTypeTest","unclassified","testPrint2","controller",
"TemplatizedTypeTest","unclassified","testPrint3","controller",
"TemplatizedTypeTest","unclassified","testPrintingRawType","command collaborator",
"TemplatizedTypeTest","unclassified","testDifferentRawTypes","controller",
"TemplatizedTypeTest","unclassified","testSubtypingAndEquivalenceAmongCustomTemplatizedTypes","command collaborator",
"TemplatizedTypeTest","unclassified","testEqualityWithRawType_whenSpecializedOnUnknown_includingHashcode","command collaborator",
"TemplatizedTypeTest","unclassified","testGetPropertyTypeOnTemplatizedType","command collaborator",
"TemplatizedTypeTest","unclassified","testFindPropertyTypeOnTemplatizedType","command collaborator",
"TemplatizedTypeTest","unclassified","createCustomTemplatizedType","property non-void-command collaborator",
"TemplatizedTypeTest","unclassified","assertTypeCanAssignToItself","controller stateless",
"TemplateTypeTest","commander boundary","templateTypes_boundedByUnknown_areNotEqual","command collaborator",
"TemplateTypeTest","commander boundary","templateTypes_boundedByNominalTypes_areNotEqual","command collaborator",
"TemplateTypeTest","commander boundary","proxiesOf_templateTypes_boundedByNominalTypes_areNotEqual","command collaborator",
"TemplateTypeTest","commander boundary","templateTypes_areNotEqualToUnknown","controller",
"TemplateTypeTest","commander boundary","templateTypes_withBound_areNotEqualToBound","wrapper",
"TemplateTypeMapTest","entity commander boundary","setUp","set",
"TemplateTypeMapTest","entity commander boundary","testCreateEmptyMap_throwsWhenDuplicateRequested","wrapper",
"TemplateTypeMapTest","entity commander boundary","testCopyExtend_createsNewMap","command collaborator",
"TemplateTypeMapTest","entity commander boundary","testCopyExtend_validatesCountOfKeysVsValues","command",
"TemplateTypeMapTest","entity commander boundary","testCopyExtend_emptyMap","command collaborator",
"TemplateTypeMapTest","entity commander boundary","testCopyExtend_partialMap_fillsExitingUnfilledKeysWithUnknown","command collaborator",
"TemplateTypeMapTest","entity commander boundary","testCopyExtend_partialMap_emptyExtension_fillsExitingUnfilledKeysWithUnknown","command collaborator",
"TemplateTypeMapTest","entity commander boundary","testCopyExtend_ifMapFilled_ifExtensionEmpty_returnsSelf","command collaborator",
"TemplateTypeMapTest","entity commander boundary","testCopyFill_validatesValueCount_againstUnfilledKeys","command",
"TemplateTypeMapTest","entity commander boundary","testCopyFill_ifNoSlotsEmpty_returnsSelf","command collaborator",
"TemplateTypeMapTest","entity commander boundary","testCopyFill_partialMap_fillsExtraKeysWithUnknown","command collaborator",
"TemplateTypeMapTest","entity commander boundary","testCopyWithout_canRemoveUnfilledKeys","command collaborator",
"TemplateTypeMapTest","entity commander boundary","testCopyWithout_retainFilledKeys","command collaborator",
"TemplateTypeMapTest","entity commander boundary","testCopyWithout_ifNothingRemoved_returnsSelf","command collaborator",
"TemplateTypeMapTest","entity commander boundary","testGetLastTemplateTypeKeyByName_returnsLastKeyIfDuplicates","command collaborator",
"TemplateTypeMapTest","entity commander boundary","createMap","property non-void-command collaborator",
"TemplateTypeMapTest","entity commander boundary","key","property non-void-command collaborator",
"RecordTypeTest","unclassified","testRecursiveRecord","controller",
"RecordTypeTest","unclassified","testToString_largeRecord","command collaborator",
"RecordTypeTest","unclassified","testToString_nestedRecordIndentation","command collaborator",
"RecordTypeTest","unclassified","testToString_nestedRecordIndentation_throughUnion","command collaborator",
"RecordTypeTest","unclassified","testToString_nestedRecordIndentation_throughTemplateParam","command collaborator",
"RecordTypeTest","unclassified","testSupAndInf","command collaborator",
"RecordTypeTest","unclassified","testSubtypeWithUnknowns","controller",
"RecordTypeTest","unclassified","testSubtypeWithUnknowns2","controller",
"RecordTypeTest","unclassified","testSubtypeWithFunctionProps","controller",
"RecordTypeTest","unclassified","testSubtypeWithManyProps","command collaborator",
"RecordTypeTest","unclassified","testEquality_onlyCompares_ownProperties","command collaborator",
"NamedTypeTest","commander boundary","setUp","command",
"NamedTypeTest","commander boundary","testResolutionPropagatesNamedTypePropertiesToResolvedType","command collaborator",
"NamedTypeTest","commander boundary","testStateOfForwardDeclaredType_Unresolved","command collaborator",
"NamedTypeTest","commander boundary","testStateOfForwardDeclaredType_UnsuccesfullyResolved","command collaborator",
"NamedTypeTest","commander boundary","testStateOfForwardDeclaredType_SuccessfullyResolved","command collaborator",
"NamedTypeTest","commander boundary","testEquality","command collaborator",
"NamedTypeTest","commander boundary","testEqualityOfTypesWithSameReferenceName_postResolution","command collaborator",
"NamedTypeTest","commander boundary","testForwardDeclaredNamedType","command collaborator",
"NamedTypeTest","commander boundary","testActiveXObjectResolve","command collaborator",
"NamedTypeTest","commander boundary","testResolveToGoogModule","command collaborator",
"NamedTypeTest","commander boundary","testResolveToPropertyOnGoogModule","command collaborator",
"NamedTypeTest","commander boundary","testResolveToGoogModule_failsIfLegacyNamespaceIsLongerPrefix","command collaborator",
"NamedTypeTest","commander boundary","testResolveToGoogModule_usesLongestModulePrefix","command collaborator",
"NamedTypeTest","commander boundary","testReferenceGoogModuleByType_resolvesToModuleRatherThanRegistryType","command collaborator",
"NamedTypeTest","commander boundary","testGetBangType_onUnresolvedType","command collaborator",
"NamedTypeTest","commander boundary","testGetBangType_onResolvedType","command collaborator",
"NamedTypeTest","commander boundary","testBuilderForTypeof_emitsUnrecognizedTypeError","command collaborator",
"NamedTypeTest","commander boundary","testBuilderForTypeof_yieldsNoResolvedTypeWithForwardDeclaredName","controller",
"NamedTypeTest","commander boundary","testBuilderForTypeof_requiresReferenceToStartWithTypeof","wrapper",
"NamedTypeTest","commander boundary","createNominalType","property non-void-command collaborator",
"NamedTypeTest","commander boundary","namedTypeBuilder","property wrapper",
"JSTypeResolverTest","commander boundary","capturesAllTypes_beforeOpening_isVerified","wrapper",
"JSTypeResolverTest","commander boundary","capturesAllTypes_beforeClosing_isVerified","command collaborator",
"JSTypeResolverTest","commander boundary","capturesAllTypes_inPostorder_isVerified","command collaborator",
"JSTypeResolverTest","commander boundary","capturesAllTypes_allowsNestedConstructorCalls","command",
"JSTypeResolverTest","commander boundary","capturesAllTypes_onlyOnce_isVerified","command collaborator",
"JSTypeResolverTest","commander boundary","capturesAllTypes_ignoresNonLowestSubclassConstructor","command collaborator",
"JSTypeResolverTest","commander boundary","resolvesAllTypes_eagerly_whileClosed","command collaborator",
"JSTypeResolverTest","commander boundary","resolvesAllTypes_eagerly_whileClosing","command",
"JSTypeResolverTest","commander boundary","resolvesAllTypes_lazily_whileOpen","command",
"JSTypeResolverTest","commander boundary","cannotBeOpened_whileOpen","command",
"JSTypeResolverTest","commander boundary","cannotBeOpened_whileClosing","command collaborator",
"JSTypeResolverTest","commander boundary","closer_cannotBeReused","command collaborator",
"JSTypeResolverTest","commander boundary","types_cannotBeResolved_whileOpen","command",
"JSTypeRegistryTest","commander boundary","setUp","command collaborator",
"JSTypeRegistryTest","commander boundary","testGetBuiltInType_boolean","command",
"JSTypeRegistryTest","commander boundary","testGetBuiltInType_bigint","command",
"JSTypeRegistryTest","commander boundary","testGetBuiltInType_iterable","command",
"JSTypeRegistryTest","commander boundary","testGetBuiltInType_iterator","command",
"JSTypeRegistryTest","commander boundary","testGetBuiltInType_generator","command",
"JSTypeRegistryTest","commander boundary","testGetBuiltInType_async_iterable","command",
"JSTypeRegistryTest","commander boundary","testGetBuiltInType_async_iterator","command",
"JSTypeRegistryTest","commander boundary","testGetBuiltInType_async_generator","command",
