Class Name,Class Stereotype,Method Name,Method Stereotype
"UnusedImports","commander boundary","UnusedImports","constructor",
"UnusedImports","commander boundary","setProcessJavadoc","set",
"UnusedImports","commander boundary","beginTree","command collaborator",
"UnusedImports","commander boundary","visitToken","command collaborator",
"UnusedImports","commander boundary","processIdent","command collaborator",
"UnusedImports","commander boundary","processJavaDocLinkParameters","command collaborator",
"UnusedImports","commander boundary","processJavaDocTag","command collaborator",
"UnusedImports","commander boundary","processClassOrMethodReference","command",
"UnusedImports","commander boundary","processImport","command collaborator",
"UnusedImports","commander boundary","processStaticImport","command collaborator",
"UnusedImports","commander boundary","finishTree","command collaborator",
"UnusedImports","commander boundary","print","collaborator",
"JavaDocUtil","empty","JavaDocUtil","constructor",
"IllegalImport","unclassified","setIllegalClassnames","command",
"IllegalImport","unclassified","setMessage","set",
"IllegalImport","unclassified","getDefaultTokens","incidental",
"IllegalImport","unclassified","getAcceptableTokens","property non-void-command",
"IllegalImport","unclassified","getRequiredTokens","incidental",
"IllegalImport","unclassified","visitToken","command collaborator",
"IllegalImport","unclassified","buildError","property",
"IllegalImport","unclassified","isIllegalImport","predicate non-void-command",
"MongoDbShardedClusterTest","commander small-class","testCluster","command",
"MongoDbReplicaSetTest","commander boundary","tearDown","wrapper",
"MongoDbReplicaSetTest","commander boundary","testCluster","command",
"MongoDbReplicaSetTest","commander boundary","testClusterWithPropertyPortList","command",
"MongoDbReplicaSetTest","commander boundary","testClusterWithPropertyPorRange","command",
"MongoDbReplicaSetTest","commander boundary","testClusterWithInsufficientNumberOfPorts","command collaborator",
"MongoDbReplicaSetTest","commander boundary","testCluster","command collaborator",
"MongoDbReplicaSetTest","commander boundary","run","command collaborator",
"MongoDbReplicaSetAuthTest","commander boundary","before","command",
"MongoDbReplicaSetAuthTest","commander boundary","setupDatabase","command collaborator",
"MongoDbReplicaSetAuthTest","commander boundary","testCluster","command collaborator",
"ConnectorConfigurationTest","commander boundary","shouldSerializeConnectorConfiguration","command collaborator",
"ConnectorConfigurationTest","commander boundary","shouldLoadConnectorConfigurationFromFile","command collaborator",
"ConnectorConfigurationTest","commander boundary","shouldOverrideConfigurationFromJdbcContainer","command collaborator",
"ApicurioRegistryTest","unclassified","clearState","command",
