Unique Class Stereotype,Class Count
entity boundary data-class,1
entity,4
data-provider small-class,3
commander boundary large-class,1
entity degenerate,1
data-provider boundary data-class,7
entity commander boundary,26
data-provider,52
factory pure-controller degenerate small-class,3
boundary degenerate small-class,46
commander boundary,163
data-provider lazy-class degenerate,3
boundary data-class small-class,3
entity boundary degenerate,3
factory degenerate small-class,40
empty,453
commander boundary data-class small-class,1
data-class,4
entity boundary,78
commander,122
factory controller,2
entity small-class,5
unclassified,139
controller small-class,18
degenerate small-class,46
lazy-class,3
data-class small-class,4
factory controller small-class,16
commander degenerate,5
boundary,121
pure-controller small-class,2
commander boundary small-class,39
pure-controller,1
controller,7
data-provider boundary small-class,6
small-class,46
minimal-entity commander boundary,1
pure-controller degenerate small-class,26
entity boundary small-class,51
entity boundary lazy-class degenerate,1
boundary large-class degenerate,1
boundary small-class,3
data-provider data-class,11
commander data-class small-class,2
data-provider boundary data-class small-class,8
data-provider data-class small-class,12
controller degenerate,9
boundary lazy-class degenerate,4
entity minimal-entity boundary,3
data-provider boundary,19
boundary degenerate,42
boundary controller,1
pure-controller degenerate,22
entity data-provider boundary,14
factory degenerate,7
data-provider boundary lazy-class degenerate,2
lazy-class small-class,1
degenerate,55
controller lazy-class degenerate,3
commander boundary degenerate,7
lazy-class degenerate,3
entity factory controller small-class,7
data-provider boundary lazy-class,2
commander small-class,25
boundary data-class,2
Total,1818
