Class Name,Class Stereotype,Method Name,Method Stereotype
"YarnClientAspectMoc","commander boundary small-class","submitApplication","command collaborator",
"YarnClientAspectMoc","commander boundary small-class","createAppId","set collaborator",
"YarnClientAspectMocTest","commander","beforeEveryTest","wrapper",
"YarnClientAspectMocTest","commander","afterEveryTest","command",
"YarnClientAspectMocTest","commander","testMoc","command",
"TaskExecutionContextUtilsTest","pure-controller degenerate small-class","createTaskInstanceWorkingDirectory","controller stateless",
"TaskInstanceOperationFunctionTest","unclassified","testTaskInstanceOperationFunctionManager","controller",
"TaskInstanceOperationFunctionTest","unclassified","testUpdateWorkflowHostOperationFunction","command collaborator",
"TaskInstanceOperationFunctionTest","unclassified","testTaskInstancePauseOperationFunction","controller stateless",
"TaskInstanceOperationFunctionTest","unclassified","testTaskInstanceDispatchOperationFunction","command collaborator",
"TaskInstanceOperationFunctionTest","unclassified","testTaskInstanceKillOperationFunction","command",
"WorkerTaskExecutorThreadPoolTest","commander boundary","setUp","wrapper stateless",
"WorkerTaskExecutorThreadPoolTest","commander boundary","testIsOverload","command collaborator",
"WorkerTaskExecutorThreadPoolTest","commander boundary","testSubmitWorkerTaskExecutorWithContinuePolicy","command collaborator",
"WorkerTaskExecutorThreadPoolTest","commander boundary","testSubmitWorkerTaskExecutorWithRejectPolicy","command",
"WorkerTaskExecutorThreadPoolTest","commander boundary","testGetWaitingTaskExecutorSize","command collaborator",
"WorkerTaskExecutorThreadPoolTest","commander boundary","testGetRunningTaskExecutorSize","command collaborator",
"WorkerTaskExecutorThreadPoolTest","commander boundary","createWorkerConfig","factory controller stateless",
"WorkerConnectionStateListenerTest","commander small-class","testWorkerConnectionStateListener","command",
"TaskFilesTransferUtils","empty","TaskFilesTransferUtils","constructor",
"TaskInstanceKillOperationFunction","unclassified","TaskInstanceKillOperationFunction","constructor",
"TaskInstanceKillOperationFunction","unclassified","operate","property non-void-command collaborator",
"TaskInstanceKillOperationFunction","unclassified","doKill","predicate non-void-command collaborator",
"TaskInstanceKillOperationFunction","unclassified","cancelApplication","controller stateless",
"TaskInstanceKillOperationFunction","unclassified","killProcess","controller stateless",
"TaskInstanceDispatchOperationFunction","entity boundary small-class","TaskInstanceDispatchOperationFunction","constructor",
"TaskInstanceDispatchOperationFunction","entity boundary small-class","operate","property non-void-command collaborator",
"TaskInstanceExecutionRunningEventAckListenFunction","commander boundary small-class","TaskInstanceExecutionRunningEventAckListenFunction","constructor",
"TaskInstanceExecutionRunningEventAckListenFunction","commander boundary small-class","handleTaskInstanceExecutionEventAck","command collaborator",
"TaskInstanceExecutionInfoEventAckListenFunction","commander boundary small-class","TaskInstanceExecutionInfoEventAckListenFunction","constructor",
"TaskInstanceExecutionInfoEventAckListenFunction","commander boundary small-class","handleTaskInstanceExecutionEventAck","command collaborator",
"TaskInstanceExecutionFinishEventAckListenFunction","commander boundary small-class","TaskInstanceExecutionFinishEventAckListenFunction","constructor",
"TaskInstanceExecutionFinishEventAckListenFunction","commander boundary small-class","handleTaskInstanceExecutionEventAck","command collaborator",
"WorkerTaskExecutorThreadPool","unclassified","WorkerTaskExecutorThreadPool","constructor",
"WorkerTaskExecutorThreadPool","unclassified","submitWorkerTaskExecutor","predicate non-void-command collaborator",
