Unique Class Stereotype,Class Count
data-provider lazy-class,1
data-provider,1
controller degenerate,1
entity boundary small-class,1
boundary degenerate small-class,2
commander lazy-class small-class,3
commander boundary,9
boundary degenerate,1
factory pure-controller degenerate small-class,1
controller,1
lazy-class,6
pure-controller degenerate,2
boundary small-class,2
data-provider boundary,1
data-provider lazy-class small-class,2
lazy-class data-class small-class,2
commander lazy-class,1
unclassified,62
commander,18
empty,53
entity commander boundary,5
pure-controller degenerate small-class,3
data-class,1
commander boundary small-class,3
commander small-class,7
minimal-entity,1
small-class,3
factory controller small-class,1
entity boundary,3
degenerate,18
boundary,50
pure-controller small-class,3
degenerate small-class,118
boundary lazy-class,1
Total,387
