Unique Class Stereotype,Class Count
pure-controller,1
factory controller degenerate,1
boundary degenerate,1
controller data-class small-class,1
boundary data-class,1
commander boundary degenerate,1
controller degenerate,2
entity boundary degenerate,1
commander small-class,6
boundary data-class small-class,1
data-provider small-class,1
entity data-provider boundary,2
data-class small-class,3
entity boundary,28
factory pure-controller degenerate small-class,2
controller,2
boundary degenerate small-class,5
commander boundary,39
entity minimal-entity commander boundary,1
controller small-class,4
unclassified,31
commander boundary small-class,14
pure-controller degenerate,10
small-class,18
entity boundary small-class,17
entity commander boundary,7
pure-controller degenerate small-class,7
data-provider boundary,4
data-provider boundary data-class small-class,3
data-provider,10
data-provider data-class small-class,4
boundary small-class,5
data-provider data-class,5
factory controller small-class,4
factory degenerate small-class,1
degenerate small-class,1
degenerate,5
boundary,19
pure-controller small-class,3
entity minimal-entity boundary,4
empty,104
commander,22
entity small-class,2
Total,403
