Unique Method Stereotype,Method Count
get property non-void-command,1
factory wrapper stateless,1
property factory wrapper,1
property set,9
get set collaborator,30
predicate,1
factory controller,1
empty,6
property factory controller,2
set factory collaborator,3
collaborator stateless,8
property,3
predicate controller,1
non-void-command factory collaborator,7
predicate non-void-command,13
factory controller stateless,14
controller stateless,391
get collaborator,46
wrapper stateless,206
set,17
constructor,243
command,124
command collaborator,531
property wrapper,16
get non-void-command collaborator,26
property non-void-command factory collaborator,22
property non-void-command,65
controller,33
predicate non-void-command collaborator,12
incidental,8
copy-constructor,5
property non-void-command collaborator,196
property controller,7
set collaborator,4
factory collaborator stateless,19
get property wrapper,1
get non-void-command,21
wrapper,10
get set,9
property factory collaborator,19
get property non-void-command collaborator,5
get,41
collaborator incidental,80
get wrapper,2
Total,2260
