Unique Class Stereotype,Class Count
minimal-entity,1
minimal-entity boundary lazy-class,1
large-class degenerate,1
large-class,2
lazy-class data-class,1
controller data-class small-class,1
commander boundary lazy-class degenerate,2
entity minimal-entity,1
boundary lazy-class,7
entity factory controller degenerate,1
entity data-provider boundary data-class,1
data-provider lazy-class degenerate,17
boundary lazy-class small-class,2
factory controller lazy-class degenerate,3
entity factory controller data-class small-class,2
entity boundary data-class,4
data-provider lazy-class,4
commander data-class small-class,7
entity data-provider boundary lazy-class degenerate,1
entity data-provider boundary degenerate,1
entity data-provider boundary lazy-class,1
commander boundary data-class,1
factory pure-controller small-class,12
lazy-class small-class,11
entity data-class small-class,1
lazy-class,11
data-provider boundary lazy-class,6
entity boundary lazy-class degenerate,5
entity degenerate,4
entity boundary degenerate,45
pure-controller small-class,119
boundary,873
data-provider small-class,31
degenerate small-class,307
boundary data-class,9
commander small-class,213
data-provider boundary lazy-class small-class,5
boundary degenerate small-class,330
entity small-class,55
factory controller,24
commander boundary small-class,299
entity minimal-entity boundary,37
data-provider boundary,258
data-provider degenerate,3
data-provider boundary data-class,67
controller lazy-class small-class,1
data-provider,288
entity data-class,1
data-provider boundary data-class small-class,107
data-provider data-class small-class,95
unclassified,1091
controller small-class,104
entity commander boundary,271
entity boundary data-class small-class,6
factory pure-controller degenerate small-class,82
boundary degenerate,272
commander boundary,762
entity minimal-entity commander boundary,8
entity commander boundary degenerate,1
small-class,397
minimal-entity commander boundary,6
pure-controller degenerate small-class,650
entity boundary small-class,419
data-provider data-class,64
boundary large-class degenerate,1
boundary small-class,37
degenerate,563
controller lazy-class degenerate,15
commander boundary degenerate,37
entity data-provider boundary,143
pure-controller degenerate,293
data-provider boundary degenerate,8
commander lazy-class small-class,5
boundary controller,1
factory controller degenerate,7
entity factory controller small-class,85
commander data-class,4
entity,66
empty,2761
data-provider lazy-class small-class,8
factory degenerate,30
data-provider boundary lazy-class degenerate,50
commander boundary data-class small-class,6
commander,599
entity boundary,849
data-class,16
pure-controller,81
controller,153
data-provider boundary small-class,90
controller degenerate,99
boundary lazy-class degenerate,96
factory degenerate small-class,85
factory controller data-class small-class,2
commander boundary lazy-class,1
entity factory controller,13
entity data-provider boundary data-class small-class,1
lazy-class degenerate,52
boundary data-class small-class,22
factory controller small-class,61
data-class small-class,40
minimal-entity boundary,17
commander degenerate,25
Total,13834
