Unique Class Stereotype,Class Count
entity data-provider boundary,1
data-provider boundary data-class small-class,1
factory degenerate small-class,1
data-provider lazy-class degenerate,1
boundary data-class small-class,1
data-provider lazy-class,1
commander boundary,2
factory controller small-class,8
pure-controller degenerate,1
entity boundary small-class,10
small-class,16
boundary degenerate small-class,7
factory pure-controller small-class,3
entity commander boundary,3
pure-controller degenerate small-class,26
entity factory controller small-class,3
entity small-class,2
empty,146
commander,21
degenerate,49
boundary,25
commander boundary small-class,7
data-provider lazy-class small-class,3
boundary degenerate,7
factory pure-controller degenerate small-class,3
controller,3
controller degenerate,7
boundary lazy-class degenerate,2
lazy-class degenerate,3
data-class small-class,1
entity boundary,12
data-provider,3
data-provider boundary,3
unclassified,102
controller small-class,4
degenerate small-class,9
data-provider data-class,1
commander data-class small-class,1
commander boundary data-class small-class,2
commander small-class,6
entity boundary degenerate,3
Total,510
