Unique Method Stereotype,Method Count
get set factory,1
get predicate collaborator,2
factory,1
set factory,1
get non-void-command factory,2
void-accessor command collaborator,1
void-accessor,1
predicate collaborator,1
property set factory collaborator,4
predicate set collaborator,2
unclassified,6
collaborator incidental,40
get,447
get property non-void-command collaborator,19
property set collaborator,24
controller,99
incidental,48
copy-constructor,22
get wrapper,15
get property controller,1
factory controller,11
empty,36
property non-void-command factory collaborator,67
property non-void-command,698
stateless,22
property collaborator,8
predicate set,1
set collaborator,80
property controller,63
property non-void-command collaborator,1147
get set collaborator,136
predicate non-void-command collaborator,135
wrapper,50
get non-void-command,169
get property wrapper,2
wrapper stateless,1151
property non-void-command factory,3
collaborator stateless,17
collaborator,1
set factory collaborator,1
set,217
constructor,1570
void-accessor command,2
factory controller stateless,9
get controller,10
get collaborator,227
property wrapper,183
get non-void-command collaborator,245
controller stateless,1690
non-void-command factory collaborator,33
predicate controller,15
predicate non-void-command,204
property,64
command collaborator,381
get property non-void-command factory collaborator,2
get property set collaborator,1
factory collaborator stateless,30
predicate wrapper,28
predicate,24
void-accessor set collaborator,1
get property non-void-command,17
get non-void-command factory collaborator,2
property factory collaborator,15
get set factory collaborator,1
property factory controller,10
property set,10
factory collaborator incidental,3
command,356
property factory wrapper,3
get property set,1
get property,1
get set,246
non-void-command factory,4
get factory collaborator,4
get predicate,1
factory wrapper stateless,6
Total,10151
