Unique Method Stereotype,Method Count
predicate,3
get wrapper,1
unclassified,3
wrapper,1
property set,1
factory collaborator incidental,1
get property set,1
get property set collaborator,1
factory wrapper stateless,2
collaborator stateless,2
set factory collaborator,1
get non-void-command collaborator,2
property wrapper,4
get set collaborator,1
collaborator,3
wrapper stateless,58
constructor,49
set,5
command,93
void-accessor command collaborator,34
property collaborator,4
property non-void-command factory collaborator,16
property non-void-command,182
predicate controller,3
non-void-command factory collaborator,12
predicate non-void-command,56
command collaborator,51
factory controller stateless,13
factory collaborator stateless,16
void-accessor set collaborator,1
get non-void-command,2
controller stateless,193
get non-void-command factory collaborator,2
void-accessor controller,1
void-accessor command,25
controller,3
predicate non-void-command collaborator,32
incidental,199
get collaborator,7
collaborator incidental,52
get,11
property,9
property non-void-command collaborator,115
property controller,1
set collaborator,7
factory controller,1
property set collaborator,6
stateless,15
Total,1301
