Unique Class Stereotype,Class Count
data-provider lazy-class degenerate,1
data-provider small-class,1
entity boundary degenerate,1
data-provider data-class,3
commander boundary small-class,31
commander boundary degenerate,1
boundary lazy-class,3
degenerate small-class,17
lazy-class degenerate,2
entity data-provider boundary lazy-class,1
pure-controller small-class,5
boundary,334
degenerate,41
entity factory controller small-class,11
entity,13
small-class,34
unclassified,162
controller small-class,1
data-provider lazy-class small-class,26
empty,906
entity small-class,5
factory controller,3
data-provider,21
minimal-entity controller,2
commander,10
entity boundary,294
entity minimal-entity data-provider boundary,1
entity data-provider boundary data-class,1
commander boundary,24
pure-controller,3
controller,55
data-provider boundary small-class,14
minimal-entity factory controller,1
entity factory controller,8
entity commander boundary,8
entity boundary small-class,47
pure-controller degenerate small-class,20
entity boundary data-class small-class,1
boundary large-class degenerate,3
boundary small-class,13
data-provider boundary lazy-class small-class,9
entity boundary data-class,2
boundary data-class,1
commander small-class,14
factory degenerate small-class,6
commander degenerate,1
factory controller small-class,19
minimal-entity boundary,10
data-provider boundary degenerate,3
boundary degenerate,14
data-provider boundary data-class,2
boundary degenerate small-class,17
controller lazy-class,1
controller degenerate,19
data-provider boundary,21
entity minimal-entity boundary,9
entity data-provider boundary,16
pure-controller degenerate,4
lazy-class,3
data-provider boundary lazy-class,1
data-provider boundary lazy-class degenerate,1
factory controller degenerate,1
data-provider boundary data-class small-class,10
data-provider data-class small-class,1
boundary data-class small-class,2
Total,2315
