Class Name,Class Stereotype,Method Name,Method Stereotype
"VideoInputFrameGrabber","unclassified","VideoInputFrameGrabber","constructor"
"VideoInputFrameGrabber","unclassified","release","command"
"VideoInputFrameGrabber","unclassified","finalize","command"
"VideoInputFrameGrabber","unclassified","getGamma","get property"
"VideoInputFrameGrabber","unclassified","getImageWidth","property non-void-command"
"VideoInputFrameGrabber","unclassified","getImageHeight","property non-void-command"
"VideoInputFrameGrabber","unclassified","start","command"
"VideoInputFrameGrabber","unclassified","start","command"
"VideoInputFrameGrabber","unclassified","stop","set"
"VideoInputFrameGrabber","unclassified","trigger","command"
"VideoInputFrameGrabber","unclassified","grab","property non-void-command collaborator"
"ReflectanceInitializer","data-provider","ReflectanceInitializer","constructor"
"ReflectanceInitializer","data-provider","ReflectanceInitializer","constructor"
"ReflectanceInitializer","data-provider","getProjectorImages","get collaborator"
"ReflectanceInitializer","data-provider","initializeReflectance","property non-void-command collaborator"
"ReflectanceInitializer","data-provider","initializePlaneParameters","property controller"
"RealSense2FrameGrabber","entity boundary","RealSense2FrameGrabber","constructor"
"RealSense2FrameGrabber","entity boundary","RealSense2FrameGrabber","constructor"
"RealSense2FrameGrabber","entity boundary","getDeviceInfos","non-void-command factory collaborator"
"RealSense2FrameGrabber","entity boundary","disableAllStreams","command"
"RealSense2FrameGrabber","entity boundary","getEnabledStreams","get collaborator"
"RealSense2FrameGrabber","entity boundary","enableStream","command collaborator"
"RealSense2FrameGrabber","entity boundary","enableColorStream","wrapper stateless"
"RealSense2FrameGrabber","entity boundary","enableDepthStream","wrapper stateless"
"RealSense2FrameGrabber","entity boundary","enableIRStream","wrapper stateless"
"RealSense2FrameGrabber","entity boundary","enableIRStream","command"
"RealSense2FrameGrabber","entity boundary","open","command collaborator"
"RealSense2FrameGrabber","entity boundary","start","command collaborator"
"RealSense2FrameGrabber","entity boundary","stop","set"
"RealSense2FrameGrabber","entity boundary","readNextFrameSet","set"
"RealSense2FrameGrabber","entity boundary","trigger","set"
"RealSense2FrameGrabber","entity boundary","grab","property non-void-command collaborator"
"RealSense2FrameGrabber","entity boundary","grab","property non-void-command collaborator"
"RealSense2FrameGrabber","entity boundary","getDistance","property non-void-command"
"RealSense2FrameGrabber","entity boundary","grabColor","property non-void-command collaborator"
"RealSense2FrameGrabber","entity boundary","grabDepth","property non-void-command collaborator"
"RealSense2FrameGrabber","entity boundary","grabIR","property non-void-command collaborator"
"RealSense2FrameGrabber","entity boundary","grabIR","property non-void-command collaborator"
"RealSense2FrameGrabber","entity boundary","getLargestStreamByArea","property non-void-command collaborator"
"RealSense2FrameGrabber","entity boundary","grabCVFrame","property non-void-command collaborator"
"RealSense2FrameGrabber","entity boundary","findFrameByStreamType","property non-void-command collaborator"
"RealSense2FrameGrabber","entity boundary","release","wrapper"
"RealSense2FrameGrabber","entity boundary","setSensorOption","command"
"RealSense2FrameGrabber","entity boundary","setSensorOption","command collaborator"
"RealSense2FrameGrabber","entity boundary","createContext","property wrapper"
"RealSense2FrameGrabber","entity boundary","createDeviceList","property wrapper"
"RealSense2FrameGrabber","entity boundary","createDevice","property wrapper"
"RealSense2FrameGrabber","entity boundary","createPipeline","property wrapper"
"RealSense2FrameGrabber","entity boundary","createConfig","property wrapper"
"RealSense2FrameGrabber","entity boundary","getFrameTimeStamp","property wrapper"
"RealSense2FrameGrabber","entity boundary","getDeviceCount","property non-void-command"
"RealSense2FrameGrabber","entity boundary","getDeviceInfo","wrapper stateless"
"RealSense2FrameGrabber","entity boundary","getSensorInfo","wrapper stateless"
"RealSense2FrameGrabber","entity boundary","getFrameData","property wrapper"
"RealSense2FrameGrabber","entity boundary","getFrameSize","property factory wrapper"
"RealSense2FrameGrabber","entity boundary","getStreamProfile","property wrapper"
"RealSense2FrameGrabber","entity boundary","getStreamProfileData","non-void-command factory collaborator"
"RealSense2FrameGrabber","entity boundary","isSensorExtendableTo","predicate wrapper"
"RealSense2FrameGrabber","entity boundary","isStreamProfile","predicate wrapper"
"RealSense2FrameGrabber","entity boundary","matchesVideoStreamProfile","predicate non-void-command collaborator"
"RealSense2FrameGrabber","entity boundary","setRs2Option","wrapper"
"RealSense2FrameGrabber","entity boundary","getSensors","factory wrapper"
"RealSense2FrameGrabber","entity boundary","getStreamProfiles","factory wrapper"
"RealSense2FrameGrabber","entity boundary","enableAllVideoStreams","command"
"ProjectiveTransformerCL","boundary","ProjectiveTransformerCL","constructor"
"ProjectiveTransformerCL","boundary","ProjectiveTransformerCL","constructor"
"ProjectiveTransformerCL","boundary","ProjectiveTransformerCL","constructor"
"ProjectiveTransformerCL","boundary","ProjectiveTransformerCL","constructor"
"ProjectiveTransformerCL","boundary","getContext","get collaborator"
"ProjectiveTransformerCL","boundary","prepareHomographies","command"
"ProjectiveTransformerCL","boundary","transform","command collaborator"
"ProjectiveColorTransformer","boundary","ProjectiveColorTransformer","constructor"
"ProjectiveColorTransformer","boundary","getX","get collaborator"
"ProjectiveColorTransformer","boundary","getNumGains","get"
"ProjectiveColorTransformer","boundary","getNumBiases","get"
"ProjectiveColorTransformer","boundary","transformColor","command collaborator"
"ProjectiveColorTransformer","boundary","prepareColorTransform","controller"
"ProjectiveColorTransformer","boundary","transform","command"
"ProjectiveColorTransformer","boundary","createParameters","factory collaborator stateless"
"ProCamTransformer","boundary","ProCamTransformer","constructor"
"ProCamTransformer","boundary","ProCamTransformer","constructor"
"ProCamTransformer","boundary","getNumGains","property non-void-command"
"ProCamTransformer","boundary","getNumBiases","property non-void-command"
"ProCamTransformer","boundary","getFillColor","get collaborator"
"ProCamTransformer","boundary","setFillColor","set collaborator"
"ProCamTransformer","boundary","getSurfaceTransformer","get collaborator"
"ProCamTransformer","boundary","getProjectorTransformer","get collaborator"
"ProCamTransformer","boundary","getProjectorImage","get collaborator"
"ProCamTransformer","boundary","setProjectorImage","command"
"ProCamTransformer","boundary","setProjectorImage","command collaborator"
"ProCamTransformer","boundary","getSurfaceImage","get collaborator"
"ProCamTransformer","boundary","setSurfaceImage","command"
"ProCamTransformer","boundary","prepareTransforms","command collaborator"
"ProCamTransformer","boundary","transform","command collaborator"
"ProCamTransformer","boundary","transform","command"
"ProCamTransformer","boundary","transform","command"
"ProCamTransformer","boundary","createParameters","factory collaborator stateless"
"ProCamColorCalibrator","entity boundary","ProCamColorCalibrator","constructor"
"ProCamColorCalibrator","entity boundary","getColorCount","get"
"ProCamColorCalibrator","entity boundary","getProjectorColors","get non-void-command factory collaborator"
"ProCamColorCalibrator","entity boundary","getProjectorColor","property non-void-command collaborator"
"ProCamColorCalibrator","entity boundary","getCameraColors","get collaborator"
"ProCamColorCalibrator","entity boundary","getCameraColor","property non-void-command collaborator"
"ProCamColorCalibrator","entity boundary","addCameraColor","set"
"ProCamColorCalibrator","entity boundary","addCameraColor","command collaborator"
"ProCamColorCalibrator","entity boundary","getMaskImage","get collaborator"
"ProCamColorCalibrator","entity boundary","getUndistortedCameraImage","get collaborator"
"ProCamColorCalibrator","entity boundary","processCameraImage","predicate non-void-command collaborator"
"ProCamColorCalibrator","entity boundary","calibrate","property non-void-command collaborator"
"PS3EyeFrameGrabber","unclassified","PS3EyeFrameGrabber","constructor"
"PS3EyeFrameGrabber","unclassified","PS3EyeFrameGrabber","constructor"
"PS3EyeFrameGrabber","unclassified","PS3EyeFrameGrabber","constructor"
"PS3EyeFrameGrabber","unclassified","PS3EyeFrameGrabber","constructor"
"PS3EyeFrameGrabber","unclassified","makeImage","get non-void-command collaborator"
"PS3EyeFrameGrabber","unclassified","grab_raw","get property non-void-command"
"PS3EyeFrameGrabber","unclassified","trigger","command"
"PS3EyeFrameGrabber","unclassified","grab_RGB4","get property non-void-command collaborator"
"PS3EyeFrameGrabber","unclassified","grab","property non-void-command collaborator"
"PS3EyeFrameGrabber","unclassified","start","command"
"PS3EyeFrameGrabber","unclassified","stop","set"
"PS3EyeFrameGrabber","unclassified","release","command"
"PS3EyeFrameGrabber","unclassified","dispose","command"
"PS3EyeFrameGrabber","unclassified","finalize","command"
"PS3EyeFrameGrabber","unclassified","getCamera","get collaborator"
"PS3EyeFrameGrabber","unclassified","getUUID","get"
"PS3EyeFrameGrabber","unclassified","toString","property non-void-command"
"OpenKinectFrameGrabber","boundary","OpenKinectFrameGrabber","constructor"
"OpenKinectFrameGrabber","boundary","release","command"
"OpenKinectFrameGrabber","boundary","finalize","command"
"OpenKinectFrameGrabber","boundary","getByteOrder","get collaborator"
"OpenKinectFrameGrabber","boundary","setByteOrder","set collaborator"
