Class Name,Class Stereotype,Method Name,Method Stereotype
"TypesTest","entity boundary small-class","getElements","property non-void-command collaborator",
"TypesTest","entity boundary small-class","getTypes","property non-void-command collaborator",
"TypesEclipseTest","entity boundary small-class","getElements","property non-void-command collaborator",
"TypesEclipseTest","entity boundary small-class","getTypes","property non-void-command collaborator",
"TypeSpecTest","commander boundary","getElement","property non-void-command collaborator",
"TypeSpecTest","commander boundary","basic","command collaborator",
"TypeSpecTest","commander boundary","interestingTypes","command collaborator",
"TypeSpecTest","commander boundary","anonymousInnerClass","command collaborator",
"TypeSpecTest","commander boundary","annotatedParameters","command collaborator",
"TypeSpecTest","commander boundary","annotationsAndJavaLangTypes","command collaborator",
"TypeSpecTest","commander boundary","retrofitStyleInterface","command collaborator",
"TypeSpecTest","commander boundary","annotatedField","command collaborator",
"TypeSpecTest","commander boundary","annotatedClass","command collaborator",
"TypeSpecTest","commander boundary","addAnnotationDisallowsNull","wrapper stateless",
"TypeSpecTest","commander boundary","enumWithSubclassing","command collaborator",
"TypeSpecTest","commander boundary","enumsMayDefineAbstractMethods","command collaborator",
"TypeSpecTest","commander boundary","noEnumConstants","command collaborator",
"TypeSpecTest","commander boundary","onlyEnumsMayHaveEnumConstants","wrapper stateless",
"TypeSpecTest","commander boundary","enumWithMembersButNoConstructorCall","command collaborator",
"TypeSpecTest","commander boundary","enumWithAnnotatedValues","command collaborator",
"TypeSpecTest","commander boundary","methodThrows","command collaborator",
"TypeSpecTest","commander boundary","typeVariables","command collaborator",
"TypeSpecTest","commander boundary","typeVariableWithBounds","command collaborator",
"TypeSpecTest","commander boundary","classImplementsExtends","command collaborator",
"TypeSpecTest","commander boundary","classImplementsNestedClass","command collaborator",
"TypeSpecTest","commander boundary","enumImplements","command collaborator",
"TypeSpecTest","commander boundary","interfaceExtends","command collaborator",
"TypeSpecTest","commander boundary","nestedClasses","command collaborator",
"TypeSpecTest","commander boundary","annotation","command collaborator",
"TypeSpecTest","commander boundary","innerAnnotationInAnnotationDeclaration","command collaborator",
"TypeSpecTest","commander boundary","annotationWithFields","command collaborator",
"TypeSpecTest","commander boundary","classCannotHaveDefaultValueForMethod","wrapper stateless",
"TypeSpecTest","commander boundary","classCannotHaveDefaultMethods","wrapper stateless",
"TypeSpecTest","commander boundary","interfaceStaticMethods","command collaborator",
"TypeSpecTest","commander boundary","interfaceDefaultMethods","command collaborator",
"TypeSpecTest","commander boundary","invalidInterfacePrivateMethods","wrapper stateless",
"TypeSpecTest","commander boundary","interfacePrivateMethods","command collaborator",
"TypeSpecTest","commander boundary","referencedAndDeclaredSimpleNamesConflict","command collaborator",
"TypeSpecTest","commander boundary","simpleNamesConflictInThisAndOtherPackage","command collaborator",
"TypeSpecTest","commander boundary","simpleNameConflictsWithTypeVariable","command collaborator",
"TypeSpecTest","commander boundary","originatingElementsIncludesThoseOfNestedTypes","wrapper stateless",
"TypeSpecTest","commander boundary","intersectionType","command collaborator",
"TypeSpecTest","commander boundary","arrayType","command collaborator",
"TypeSpecTest","commander boundary","javadoc","command collaborator",
"TypeSpecTest","commander boundary","annotationsInAnnotations","command collaborator",
"TypeSpecTest","commander boundary","varargs","command collaborator",
"TypeSpecTest","commander boundary","codeBlocks","command collaborator",
"TypeSpecTest","commander boundary","indexedElseIf","command collaborator",
"TypeSpecTest","commander boundary","elseIf","command collaborator",
"TypeSpecTest","commander boundary","doWhile","command collaborator",
"TypeSpecTest","commander boundary","inlineIndent","command collaborator",
"TypeSpecTest","commander boundary","defaultModifiersForInterfaceMembers","command collaborator",
"TypeSpecTest","commander boundary","defaultModifiersForMemberInterfacesAndEnums","command collaborator",
"TypeSpecTest","commander boundary","membersOrdering","command collaborator",
"TypeSpecTest","commander boundary","nativeMethods","command collaborator",
"TypeSpecTest","commander boundary","nullStringLiteral","command collaborator",
"TypeSpecTest","commander boundary","annotationToString","controller stateless",
"TypeSpecTest","commander boundary","codeBlockToString","controller stateless",
"TypeSpecTest","commander boundary","codeBlockAddStatementOfCodeBlockToString","controller stateless",
"TypeSpecTest","commander boundary","fieldToString","controller stateless",
"TypeSpecTest","commander boundary","methodToString","controller stateless",
"TypeSpecTest","commander boundary","constructorToString","controller",
"TypeSpecTest","commander boundary","parameterToString","controller",
"TypeSpecTest","commander boundary","classToString","controller stateless",
"TypeSpecTest","commander boundary","anonymousClassToString","controller stateless",
"TypeSpecTest","commander boundary","interfaceClassToString","controller stateless",
"TypeSpecTest","commander boundary","annotationDeclarationToString","controller stateless",
"TypeSpecTest","commander boundary","toString","property non-void-command collaborator",
"TypeSpecTest","commander boundary","multilineStatement","command collaborator",
"TypeSpecTest","commander boundary","multilineStatementWithAnonymousClass","command collaborator",
"TypeSpecTest","commander boundary","multilineStrings","command collaborator",
"TypeSpecTest","commander boundary","doubleFieldInitialization","wrapper stateless",
"TypeSpecTest","commander boundary","nullAnnotationsAddition","wrapper stateless",
