Unique Method Stereotype,Method Count
property factory collaborator,3
predicate set collaborator,1
predicate,2
collaborator stateless,4
non-void-command collaborator,3
predicate wrapper,3
get property,1
void-accessor command collaborator,8
void-accessor set collaborator,1
get non-void-command,2
property factory wrapper,1
factory collaborator stateless,11
non-void-command factory collaborator,21
predicate controller,4
predicate non-void-command,9
property factory controller,4
get set collaborator,1
factory controller,4
empty,40
command,386
non-void-command factory,1
unclassified,18
command collaborator,344
constructor,224
set,71
get set,1
wrapper,47
stateless,4
factory controller stateless,17
controller stateless,561
predicate collaborator,1
factory wrapper stateless,2
wrapper stateless,341
void-accessor wrapper,15
copy-constructor,2
incidental,26
controller,63
predicate non-void-command collaborator,14
get non-void-command collaborator,3
property wrapper,18
get collaborator,50
property controller,7
property non-void-command collaborator,179
set collaborator,25
get property non-void-command collaborator,1
get,61
collaborator incidental,28
get property non-void-command,3
get property factory,1
property,11
void-accessor command,23
property collaborator,1
property non-void-command,91
property non-void-command factory collaborator,34
Total,2797
