Unique Class Stereotype,Class Count
degenerate small-class,1
controller degenerate,1
entity data-provider boundary,1
degenerate,6
data-provider boundary data-class small-class,1
controller small-class,1
data-provider boundary,2
factory pure-controller degenerate small-class,2
entity,1
pure-controller degenerate small-class,5
entity boundary small-class,11
small-class,8
entity boundary,5
unclassified,10
empty,25
boundary degenerate small-class,7
entity commander boundary,4
entity factory controller,1
boundary,9
pure-controller degenerate,5
commander boundary degenerate,1
controller,2
boundary degenerate,1
commander boundary,55
data-provider lazy-class degenerate,1
commander small-class,6
commander boundary small-class,20
commander,13
data-provider,3
Total,208
