Unique Method Stereotype,Method Count
void-accessor command,1
property factory wrapper,1
factory wrapper,2
predicate wrapper,2
get property wrapper,3
get property factory controller,1
get predicate controller,1
predicate controller,1
non-void-command factory collaborator,23
get property set collaborator,1
factory collaborator stateless,16
property factory,2
predicate non-void-command,23
property factory controller,2
get collaborator,39
factory wrapper stateless,2
get set,1
wrapper,53
set,50
get property controller,1
constructor,190
factory controller,6
empty,65
command,179
unclassified,1
command collaborator,387
controller stateless,310
property non-void-command collaborator,131
set collaborator,36
property controller,13
incidental,11
copy-constructor,1
controller,72
predicate non-void-command collaborator,26
get non-void-command collaborator,3
property wrapper,18
wrapper stateless,303
void-accessor wrapper,2
get set collaborator,1
factory controller stateless,17
property non-void-command,69
property non-void-command factory collaborator,32
property,1
stateless,10
property factory collaborator,13
collaborator stateless,3
get property non-void-command collaborator,2
collaborator incidental,6
get,22
Total,2155
