Unique Class Stereotype,Class Count
data-provider boundary lazy-class degenerate,1
data-provider boundary data-class,3
factory controller small-class,3
data-provider small-class,3
commander boundary lazy-class small-class,1
boundary data-class,2
commander degenerate,4
data-provider boundary small-class,3
controller,7
data-provider lazy-class small-class,4
entity,5
commander boundary lazy-class degenerate,1
entity factory controller small-class,4
entity boundary,53
lazy-class small-class,3
boundary degenerate,93
commander boundary,91
degenerate small-class,98
small-class,28
entity boundary small-class,30
pure-controller,4
pure-controller degenerate,18
degenerate,64
pure-controller small-class,3
boundary,64
boundary degenerate small-class,96
pure-controller degenerate small-class,73
entity commander boundary,15
entity small-class,2
commander,49
empty,351
controller small-class,1
unclassified,63
data-provider boundary,11
data-provider boundary data-class small-class,8
entity boundary lazy-class,1
data-provider data-class,2
commander data-class small-class,2
boundary small-class,22
factory degenerate small-class,2
controller degenerate,10
commander boundary degenerate,11
entity boundary degenerate,5
commander small-class,35
commander boundary data-class small-class,5
commander boundary small-class,34
entity data-provider boundary,14
data-provider,13
Total,1415
