Unique Class Stereotype,Class Count
boundary controller,1
data-class,1
degenerate small-class,7
entity boundary small-class,3
small-class,4
entity factory controller,1
lazy-class small-class,1
entity boundary,10
boundary small-class,2
data-provider boundary,3
boundary degenerate,6
controller,1
commander boundary,2
commander small-class,3
data-provider boundary small-class,1
pure-controller degenerate,2
commander boundary small-class,4
factory controller,1
entity small-class,2
commander,9
empty,94
controller small-class,2
unclassified,17
boundary degenerate small-class,4
pure-controller degenerate small-class,6
entity commander boundary,1
pure-controller small-class,4
boundary,18
degenerate,6
data-provider boundary data-class,1
data-provider data-class small-class,3
data-provider,2
controller degenerate,1
boundary data-class small-class,1
Total,224
