Unique Method Stereotype,Method Count
get non-void-command factory collaborator,9
property set collaborator,1
get property non-void-command factory collaborator,1
non-void-command factory,1
factory controller stateless,4
void-accessor controller,1
predicate collaborator,1
factory wrapper stateless,3
predicate,7
incidental,18
predicate non-void-command collaborator,8
controller,12
wrapper stateless,34
set,3
constructor,102
factory collaborator incidental,2
property set,1
get non-void-command,6
get set,7
wrapper,14
factory collaborator stateless,3
command collaborator,118
property,4
get set collaborator,17
controller stateless,70
command,66
empty,51
predicate non-void-command,38
set collaborator,2
property controller,7
property non-void-command collaborator,72
predicate controller,4
non-void-command factory collaborator,10
predicate wrapper,8
get non-void-command collaborator,18
property wrapper,3
void-accessor command collaborator,3
get collaborator,30
get property non-void-command collaborator,2
collaborator incidental,22
get,26
property collaborator,2
property non-void-command,47
property non-void-command factory collaborator,16
property factory collaborator,2
Total,876
