Class Name,Class Stereotype,Method Name,Method Stereotype
"LocationHelperTest","commander","testAbsolutePositionFor","command",
"LocationHelperTest","commander","testInvalidPosition","command",
"LocationHelperTest","commander","checkLocation","wrapper stateless",
"PatternRuleQueryBuilderTest","commander boundary","setUp","command collaborator",
"PatternRuleQueryBuilderTest","commander boundary","tearDown","command",
"PatternRuleQueryBuilderTest","commander boundary","addDocument","controller stateless",
"PatternRuleQueryBuilderTest","commander boundary","testQueryBuilder","command collaborator",
"PatternRuleQueryBuilderTest","commander boundary","testCaseSensitive","command collaborator",
"PatternRuleQueryBuilderTest","commander boundary","testUnsupportedPatternRule","command collaborator",
"PatternRuleQueryBuilderTest","commander boundary","testUnsupportedBackReferencePatternRule","command collaborator",
"PatternRuleQueryBuilderTest","commander boundary","testSpecialRegexSyntax","command collaborator",
"PatternRuleQueryBuilderTest","commander boundary","testSpecialRegexSyntax2","command collaborator",
"PatternRuleQueryBuilderTest","commander boundary","testNumberRegex","command",
"PatternRuleQueryBuilderTest","commander boundary","testIgnoreOptionalTokens","command",
"PatternRuleQueryBuilderTest","commander boundary","testOnlyInflected","command",
"PatternRuleQueryBuilderTest","commander boundary","testInflectedAndRegex","command",
"PatternRuleQueryBuilderTest","commander boundary","testSeveralElements","command",
"PatternRuleQueryBuilderTest","commander boundary","assertMatches","command",
"PatternRuleQueryBuilderTest","commander boundary","makeRule","property controller",
"WikipediaSentenceSourceTest","pure-controller degenerate small-class","testWikipediaSource","controller stateless",
"TatoebaSentenceSourceTest","pure-controller degenerate small-class","testTatoebaSource","controller stateless",
"TatoebaSentenceSourceTest","pure-controller degenerate small-class","testTatoebaSourceInvalidInput","controller stateless",
"WikipediaQuickCheck","boundary","WikipediaQuickCheck","constructor",
"WikipediaQuickCheck","boundary","WikipediaQuickCheck","constructor",
"WikipediaQuickCheck","boundary","WikipediaQuickCheck","constructor",
"WikipediaQuickCheck","boundary","getMediaWikiContent","property non-void-command collaborator",
"WikipediaQuickCheck","boundary","getLanguage","property non-void-command collaborator",
"WikipediaQuickCheck","boundary","getPageTitle","property non-void-command collaborator",
"WikipediaQuickCheck","boundary","getUrlMatcher","property non-void-command collaborator",
"WikipediaQuickCheck","boundary","setDisabledRuleIds","set",
"WikipediaQuickCheck","boundary","getDisabledRuleIds","get",
"WikipediaQuickCheck","boundary","checkPage","property non-void-command collaborator",
"WikipediaQuickCheck","boundary","checkPage","property non-void-command collaborator",
"WikipediaQuickCheck","boundary","checkWikipediaMarkup","property non-void-command factory collaborator",
"WikipediaQuickCheck","boundary","checkPage","property non-void-command factory collaborator",
"WikipediaQuickCheck","boundary","validateWikipediaUrl","command collaborator",
"WikipediaQuickCheck","boundary","getPlainText","property non-void-command collaborator",
"WikipediaQuickCheck","boundary","getPlainTextMapping","property non-void-command collaborator",
"WikipediaQuickCheck","boundary","removeWikipediaLinks","controller stateless",
"WikipediaQuickCheck","boundary","getRevisionContent","factory controller stateless",
"WikipediaQuickCheck","boundary","getLanguageTool","non-void-command factory collaborator",
"WikipediaQuickCheck","boundary","enableWikipediaRules","controller stateless",
"WikipediaQuickCheck","boundary","disableSpellingRules","controller stateless",
"WikipediaQuickCheck","boundary","getContent","controller stateless",
"SwebleWikipediaTextFilter","lazy-class small-class","SwebleWikipediaTextFilter","constructor",
"SwebleWikipediaTextFilter","lazy-class small-class","filter","factory collaborator stateless",
"SwebleWikipediaTextFilter","lazy-class small-class","enableMapping","set",
"SuggestionReplacer","controller degenerate","SuggestionReplacer","constructor",
"SuggestionReplacer","controller degenerate","SuggestionReplacer","constructor",
"SuggestionReplacer","controller degenerate","applySuggestionsToOriginalText","non-void-command factory collaborator",
"SuggestionReplacer","controller degenerate","findNextWhitespaceToTheRight","controller stateless",
"SuggestionReplacer","controller degenerate","findNextWhitespaceToTheLeft","controller stateless",
"RuleMatchApplication","data-provider","RuleMatchApplication","constructor",
"RuleMatchApplication","data-provider","getOriginalErrorContext","property non-void-command",
"RuleMatchApplication","data-provider","getCorrectedErrorContext","property non-void-command",
"RuleMatchApplication","data-provider","getContext","property non-void-command",
"RuleMatchApplication","data-provider","getRuleMatch","get collaborator",
"RuleMatchApplication","data-provider","getOriginalText","get",
"RuleMatchApplication","data-provider","getTextWithCorrection","get",
"RuleMatchApplication","data-provider","getErrorMarker","get collaborator",
"RuleMatchApplication","data-provider","hasRealReplacement","get",
"RuleMatchApplication","data-provider","toString","property non-void-command",
"PlainTextMapping","entity data-provider boundary","PlainTextMapping","constructor",
"PlainTextMapping","entity data-provider boundary","getPlainText","get",
"PlainTextMapping","entity data-provider boundary","getMapping","get collaborator",
"PlainTextMapping","entity data-provider boundary","getOriginalTextPositionFor","property non-void-command factory collaborator",
"WikipediaTextFilterTest","commander","testImageRemoval","command",
"WikipediaTextFilterTest","commander","testRemovalOfImageWithLink","command",
"WikipediaTextFilterTest","commander","testLink1","command",
"WikipediaTextFilterTest","commander","testLink2","command",
"WikipediaTextFilterTest","commander","testEntity","command",
"WikipediaTextFilterTest","commander","testLists","command",
"WikipediaTextFilterTest","commander","testOtherStuff","command",
"WikipediaTextFilterTest","commander","assertExtract","command",
"PageNotFoundException","empty","PageNotFoundException","constructor",
"ErrorMarker","data-provider data-class small-class","ErrorMarker","constructor",
"ErrorMarker","data-provider data-class small-class","getStartMarker","get",
"ErrorMarker","data-provider data-class small-class","getEndMarker","get",
"AppliedRuleMatch","data-provider boundary","AppliedRuleMatch","constructor",
"AppliedRuleMatch","data-provider boundary","getRuleMatch","get collaborator",
"AppliedRuleMatch","data-provider boundary","getRuleMatchApplications","get collaborator",
"AppliedRuleMatch","data-provider boundary","toString","property",
"SearcherResult","data-class","SearcherResult","constructor",
"SearcherResult","data-class","getMatchingSentences","get collaborator",
"SearcherResult","data-class","getCheckedSentences","get",
"SearcherResult","data-class","getRelaxedQuery","get collaborator",
"SearcherResult","data-class","isResultIsTimeLimited","get",
"SearcherResult","data-class","setResultIsTimeLimited","set",
"SearcherResult","data-class","setDocCount","set",
"SearcherResult","data-class","getDocCount","get",
"SearcherResult","data-class","setHasTooManyLuceneMatches","set",
"SearcherResult","data-class","hasTooManyLuceneMatches","get",
"SearcherResult","data-class","setLuceneMatchCount","set",
"SearcherResult","data-class","getLuceneMatchCount","get",
"SearcherResult","data-class","setMaxDocChecked","set",
"SearcherResult","data-class","getMaxDocChecked","get",
"SearcherResult","data-class","setSkipHits","set",
"SearcherResult","data-class","getSkipHits","get",
"SearcherResult","data-class","setNumDocs","set",
"SearcherResult","data-class","getNumDocs","get",
"PatternRuleNotFoundException","empty","PatternRuleNotFoundException","constructor",
"MatchingSentence","data-provider data-class","MatchingSentence","constructor",
"MatchingSentence","data-provider data-class","getSentence","get",
"MatchingSentence","data-provider data-class","getSource","get",
"MatchingSentence","data-provider data-class","getTitle","get",
"MatchingSentence","data-provider data-class","getAnalyzedSentence","get collaborator",
"MatchingSentence","data-provider data-class","getRuleMatches","get collaborator",
"MatchingSentence","data-provider data-class","toString","get",
"LanguageToolAnalyzer","factory controller small-class","LanguageToolAnalyzer","constructor",
"LanguageToolAnalyzer","factory controller small-class","createComponents","property factory collaborator",
"Indexer","commander","Indexer","constructor",
"Indexer","commander","Indexer","constructor",
"Indexer","commander","setLowercaseOnly","set",
"Indexer","commander","indexSentence","command",
"Indexer","commander","indexText","command collaborator",
"Indexer","commander","add","command collaborator",
"Indexer","commander","add","command",
"Indexer","commander","close","command",
"Indexer","commander","commit","command",
"WikipediaSentenceSource","unclassified","WikipediaSentenceSource","constructor",
"WikipediaSentenceSource","unclassified","WikipediaSentenceSource","constructor",
"WikipediaSentenceSource","unclassified","hasNext","predicate non-void-command",
"WikipediaSentenceSource","unclassified","next","property non-void-command factory collaborator",
"WikipediaSentenceSource","unclassified","getSource","incidental",
"WikipediaSentenceSource","unclassified","fillSentences","command",
"WikipediaSentenceSource","unclassified","handleTextElement","command",
"TatoebaSentenceSource","unclassified","TatoebaSentenceSource","constructor",
"TatoebaSentenceSource","unclassified","TatoebaSentenceSource","constructor",
"TatoebaSentenceSource","unclassified","hasNext","predicate non-void-command",
"TatoebaSentenceSource","unclassified","next","property non-void-command factory collaborator",
"TatoebaSentenceSource","unclassified","getSource","incidental",
"TatoebaSentenceSource","unclassified","fillSentences","command",
"StdoutHandler","commander small-class","StdoutHandler","constructor",
"StdoutHandler","commander small-class","StdoutHandler","constructor",
