Unique Method Stereotype,Method Count
get property set collaborator,1
factory collaborator incidental,1
factory stateless,2
get predicate wrapper,1
factory,5
get predicate non-void-command collaborator,4
factory wrapper,2
get property factory collaborator,1
get property set,1
get property,17
get predicate collaborator,1
property factory,33
predicate set collaborator,6
property non-void-command factory,9
collaborator stateless,196
get property set factory collaborator,1
get set collaborator,145
void-accessor,15
predicate collaborator,20
non-void-command collaborator,4
get non-void-command,370
get property wrapper,16
property set factory collaborator,8
factory collaborator,11
controller,164
incidental,486
void-accessor collaborator,12
copy-constructor,241
void-accessor command collaborator,200
get set factory collaborator,8
void-accessor controller,9
property factory controller,10
property non-void-command factory collaborator,141
property non-void-command,1058
predicate set,26
get property controller,6
factory controller,34
empty,419
get property non-void-command factory,2
predicate controller,57
property factory collaborator,56
get property non-void-command collaborator,19
get,1159
collaborator incidental,132
get non-void-command collaborator,348
property wrapper,3117
property factory wrapper,150
command,4415
property non-void-command collaborator,924
non-void-command,2
set collaborator,293
property controller,150
set,930
non-void-command factory collaborator,126
controller stateless,290
constructor,3405
wrapper stateless,1198
predicate non-void-command,527
void-accessor wrapper,87
get non-void-command factory collaborator,7
factory collaborator stateless,133
property collaborator,39
stateless,139
property set collaborator,22
predicate non-void-command collaborator,177
wrapper,3385
factory controller stateless,29
void-accessor command,259
get predicate set,1
command collaborator,1973
property,199
void-accessor set,35
predicate,172
factory wrapper stateless,14
get predicate,19
get predicate controller,1
predicate wrapper,326
unclassified,45
get property non-void-command factory collaborator,40
property set,49
get wrapper,30
get controller,6
get collaborator,735
void-accessor set collaborator,17
get property collaborator,4
get property non-void-command,42
non-void-command factory,2
get set,111
get predicate non-void-command,7
set factory collaborator,2
collaborator,8
Total,29099
