Class Name,Class Stereotype,Method Name,Method Stereotype
"MTWizardWelcomePanel","commander boundary degenerate","MTWizardWelcomePanel","constructor",
"MTWizardWelcomePanel","commander boundary degenerate","getTitle","wrapper stateless",
"MTWizardWelcomePanel","commander boundary degenerate","getHTMLHeader","wrapper stateless",
"MTWizardWelcomePanel","commander boundary degenerate","initComponents","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","MTWizardOtherOptionsPanel","constructor",
"MTWizardOtherOptionsPanel","commander boundary","init","command",
"MTWizardOtherOptionsPanel","commander boundary","getTitle","wrapper stateless",
"MTWizardOtherOptionsPanel","commander boundary","getHTMLHeader","wrapper stateless",
"MTWizardOtherOptionsPanel","commander boundary","getHTMLFooter","wrapper stateless",
"MTWizardOtherOptionsPanel","commander boundary","tabHeightSpinnerStateChanged","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","highlightSpinnerStateChanged","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","compactStatusCheckboxActionPerformed","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","uppercaseTabsCheckboxActionPerformed","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","compactTableCheckboxActionPerformed","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","compactDropdownCheckboxActionPerformed","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","sidebarHeightSpinnerStateChanged","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","indicatorStyleComboBoxActionPerformed","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","mtWallpapersCheckboxActionPerformed","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","compactMenusCheckboxActionPerformed","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","fileColorsCheckboxActionPerformed","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","projectFrameCheckboxActionPerformed","command collaborator",
"MTWizardOtherOptionsPanel","commander boundary","initComponents","command collaborator",
"MTWizardFinishPanel","commander boundary degenerate","MTWizardFinishPanel","constructor",
"MTWizardFinishPanel","commander boundary degenerate","getTitle","wrapper stateless",
"MTWizardFinishPanel","commander boundary degenerate","getHTMLHeader","incidental",
"MTWizardFinishPanel","commander boundary degenerate","getHTMLFooter","wrapper stateless",
"MTWizardFinishPanel","commander boundary degenerate","initComponents","command collaborator",
"MTWizardContrastPanel","commander boundary","MTWizardContrastPanel","constructor",
"MTWizardContrastPanel","commander boundary","getTitle","wrapper stateless",
"MTWizardContrastPanel","commander boundary","getHTMLHeader","wrapper stateless",
"MTWizardContrastPanel","commander boundary","contrastCheckboxActionPerformed","command collaborator",
"MTWizardContrastPanel","commander boundary","highContrastCheckboxActionPerformed","command collaborator",
"MTWizardContrastPanel","commander boundary","initComponents","command collaborator",
"MTChangeLAFAnimator","commander boundary small-class","MTChangeLAFAnimator","constructor",
"MTChangeLAFAnimator","commander boundary small-class","doPaint","command collaborator",
"ColorCycle","minimal-entity commander boundary","ColorCycle","constructor",
"ColorCycle","minimal-entity commander boundary","getComponent","get collaborator",
"ColorCycle","minimal-entity commander boundary","setComponent","set collaborator",
"ColorCycle","minimal-entity commander boundary","start","set collaborator",
"ColorCycle","minimal-entity commander boundary","stop","command",
"MTTextFieldUI","commander boundary degenerate","paintBackground","command collaborator",
"MTTextFieldUI","commander boundary degenerate","getSearchIcon","collaborator incidental",
"MTTextFieldUI","commander boundary degenerate","getClearIcon","collaborator incidental",
"MTTextFieldUI","commander boundary degenerate","paintSafely","command collaborator",
"MTTextFieldUI","commander boundary degenerate","getDefaultMargins","wrapper stateless",
"MTTableSelectedCellHighlightBorder","commander small-class","MTTableSelectedCellHighlightBorder","constructor",
"MTTableSelectedCellHighlightBorder","commander small-class","paintBorder","command",
"MTStatusBarBorder","degenerate","paintBorder","controller stateless",
"MTStatusBarBorder","degenerate","getBorderInsets","wrapper stateless",
"MTStatusBarBorder","degenerate","isBorderOpaque","incidental",
"MTSpinnerUI","controller","paint","command collaborator",
"MTSpinnerUI","controller","createButton","property non-void-command collaborator",
"MTSpinnerUI","controller","paintArrowButton","controller stateless",
"MTSpinnerUI","controller","createArrow","factory controller stateless",
