Unique Method Stereotype,Method Count
factory stateless,1
get property set collaborator,4
property set factory collaborator,1
factory collaborator incidental,2
collaborator,1
factory,8
property set,4
unclassified,9
predicate set,6
get predicate,2
factory wrapper stateless,24
get set collaborator,28
empty,92
property set collaborator,17
get property non-void-command factory collaborator,22
collaborator incidental,236
get property non-void-command collaborator,31
get,848
predicate,81
factory controller,62
get property controller,9
constructor,2016
get property factory collaborator,4
get property,13
incidental,337
factory collaborator,13
controller,128
copy-constructor,65
void-accessor command,23
factory controller stateless,77
get collaborator,772
get controller,9
wrapper stateless,304
set,350
void-accessor set collaborator,1
get property non-void-command,28
get property collaborator,3
property non-void-command,863
property non-void-command factory collaborator,621
get property non-void-command factory,7
get factory controller,3
predicate controller,49
void-accessor wrapper,3
predicate non-void-command,318
property factory,103
property non-void-command collaborator,2296
property controller,215
non-void-command factory collaborator,168
controller stateless,874
predicate collaborator,37
predicate non-void-command collaborator,264
wrapper,91
get predicate non-void-command,2
get factory collaborator,2
non-void-command factory,11
get set,25
get non-void-command collaborator,37
property wrapper,304
property,210
command collaborator,1495
command,725
property factory wrapper,43
get property wrapper,3
factory collaborator stateless,228
void-accessor command collaborator,9
void-accessor set,4
set collaborator,188
non-void-command,11
get wrapper,5
property factory collaborator,180
get non-void-command,38
non-void-command collaborator,7
predicate wrapper,12
get property factory,1
get non-void-command factory collaborator,7
property non-void-command factory,45
collaborator stateless,122
get property set factory collaborator,1
property collaborator,24
stateless,57
get set factory collaborator,2
void-accessor controller,2
property factory controller,84
get property factory wrapper,1
get property factory controller,7
Total,15435
